ticker,name,exchange,source,norm
1101,台泥,sii,FinLab company_basic_info:公司簡稱,
1101,臺灣水泥股份有限公司,sii,FinLab company_basic_info:公司名稱,
1101,TCC,sii,FinLab company_basic_info:英文簡稱,TCC
1102,亞泥,sii,FinLab company_basic_info:公司簡稱,
1102,亞洲水泥股份有限公司,sii,FinLab company_basic_info:公司名稱,
1102,ACC,sii,FinLab company_basic_info:英文簡稱,ACC
1103,嘉泥,sii,FinLab company_basic_info:公司簡稱,
1103,嘉新水泥股份有限公司,sii,FinLab company_basic_info:公司名稱,
1103,CHC,sii,FinLab company_basic_info:英文簡稱,CHC
1104,環泥,sii,FinLab company_basic_info:公司簡稱,
1104,環球水泥股份有限公司,sii,FinLab company_basic_info:公司名稱,
1104,UCC,sii,FinLab company_basic_info:英文簡稱,UCC
1108,幸福,sii,FinLab company_basic_info:公司簡稱,
1108,幸福水泥股份有限公司,sii,FinLab company_basic_info:公司名稱,
1108,LUCKY CEMENT,sii,FinLab company_basic_info:英文簡稱,LUCKY CEMENT
1109,信大,sii,FinLab company_basic_info:公司簡稱,
1109,信大水泥股份有限公司,sii,FinLab company_basic_info:公司名稱,
1109,HsingTa,sii,FinLab company_basic_info:英文簡稱,HSINGTA
1110,東泥,sii,FinLab company_basic_info:公司簡稱,
1110,東南水泥股份有限公司,sii,FinLab company_basic_info:公司名稱,
1110,SE CEMENT,sii,FinLab company_basic_info:英文簡稱,SE CEMENT
1201,味全,sii,FinLab company_basic_info:公司簡稱,
1201,味全食品工業股份有限公司,sii,FinLab company_basic_info:公司名稱,
1201,WEI CHUAN,sii,FinLab company_basic_info:英文簡稱,WEI CHUAN
1203,味王,sii,FinLab company_basic_info:公司簡稱,
1203,味王股份有限公司,sii,FinLab company_basic_info:公司名稱,
1203,VE WONG,sii,FinLab company_basic_info:英文簡稱,VE WONG
1210,大成,sii,FinLab company_basic_info:公司簡稱,
1210,大成長城企業股份有限公司,sii,FinLab company_basic_info:公司名稱,
1210,GREATWALL,sii,FinLab company_basic_info:英文簡稱,GREATWALL
1213,大飲,sii,FinLab company_basic_info:公司簡稱,
1213,大西洋飲料股份有限公司,sii,FinLab company_basic_info:公司名稱,
1213,OCEANIC Bev.,sii,FinLab company_basic_info:英文簡稱,OCEANIC BEV
1215,卜蜂,sii,FinLab company_basic_info:公司簡稱,
1215,台灣卜蜂企業股份有限公司,sii,FinLab company_basic_info:公司名稱,
1215,CPE,sii,FinLab company_basic_info:英文簡稱,CPE
1216,統一,sii,FinLab company_basic_info:公司簡稱,
1216,統一企業股份有限公司,sii,FinLab company_basic_info:公司名稱,
1216,UNI-PRESIDENT,sii,FinLab company_basic_info:英文簡稱,UNI PRESIDENT
1217,愛之味,sii,FinLab company_basic_info:公司簡稱,
