country,company_name,candidate_stock_code,candidate_matched_name,candidate_score,candidate_source
TAIWAN,OBI PHARMA,7876,OBIGEN PHARMA,0.8696,FinLab company_basic_info:英文簡稱
TAIWAN,CHINA AIRLINES,1809,China Glaze,0.67,FinLab company_basic_info:英文簡稱
TAIWAN,TAIWAN BUSINESS BANK,9924,TAIWAN FU HSING,0.6586,FinLab company_basic_info:英文簡稱
TAIWAN,WIN SEMICONDUCTORS,3105,WIN,0.6967,FinLab company_basic_info:英文簡稱
TAIWAN,POU CHEN CORP,2071,Chen Nan Steel,0.4,FinLab company_basic_info:英文簡稱
TAIWAN,WAN HAI LINES,2641,Franbo Lines,0.64,FinLab company_basic_info:英文簡稱
TAIWAN,NAN YA PRINTED CIRCUIT,6504,NAN LIU,0.4438,FinLab company_basic_info:英文簡稱
TAIWAN,STANDARD FOODS CORP,1231,Lian Hwa Foods,0.6429,FinLab company_basic_info:英文簡稱
TAIWAN,NANYA TECHNOLOGY,6863,Arizon RFID Technology,0.6316,TWSE OpenAPI t187ap03_L:公司名稱
TAIWAN,CHENG SHIN RUBBER IND,6186,Shin Ruenn,0.5806,FinLab company_basic_info:英文簡稱
TAIWAN,FENG TAY ENTERPRISE CO,2061,FENG CHING,0.4438,FinLab company_basic_info:英文簡稱
TAIWAN,CHENG UEI PRECISION IND,1904,Cheng Loong,0.5006,FinLab company_basic_info:英文簡稱
TAIWAN,PHOENIX PRECISION TECH,8358,CO-TECH,0.8782,FinLab company_basic_info:英文簡稱
TAIWAN,SHIHLIN ELECTR. & ENG,1903,Shihlin Paper,0.6014,FinLab company_basic_info:英文簡稱
TAIWAN,TAIWAN STYRENE MONOMER,9917,TAIWAN SECOM,0.6771,FinLab company_basic_info:英文簡稱
TAIWAN,KINSUS INTERCONNECT TECH,3189,KINSUS,0.915,FinLab company_basic_info:英文簡稱
TAIWAN,GIANT MANUFACTURING CO.,7783,Giant,0.9163,FinLab company_basic_info:英文簡稱
TAIWAN,PHOENIXTEC POWER CO,6412,Chicony Power,0.6207,FinLab company_basic_info:英文簡稱
TAIWAN,NANYA TECHNOLOGY CORP,6863,Arizon RFID Technology,0.6316,TWSE OpenAPI t187ap03_L:公司名稱
TAIWAN,PRO MOS TECHNOLOGIES,7822,V5 TECHNOLOGIES,0.7429,FinLab company_basic_info:英文簡稱
TAIWAN,VANGUARD INT'L SEMICON,7590,Yiho Int'l,0.5714,FinLab company_basic_info:英文簡稱
TAIWAN,FENG HSIN IRON & STEEL,2071,Chen Nan Steel,0.6316,FinLab company_basic_info:英文簡稱
TAIWAN,MICRO-STAR INTERNATIONAL,2719,Star Travel,0.4571,FinLab company_basic_info:英文簡稱
TAIWAN,ORIENTAL UNION CHEMICAL,1773,SHINY CHEMICAL,0.5946,FinLab company_basic_info:英文簡稱
TAIWAN,TAIWAN NAVIGATION CO,9938,TAIWAN PAIHO,0.7197,FinLab company_basic_info:英文簡稱
TAIWAN,WATERLAND FINANCIAL,2881,Fubon Financial,0.6471,FinLab company_basic_info:英文簡稱
TAIWAN,YUEN FOONG YU PAPER MFG,4907,Fu Yu Property,0.4865,FinLab company_basic_info:英文簡稱
TAIWAN,FORMOSA INT'L HOTELS,8171,Formosa,0.925,FinLab company_basic_info:英文簡稱
TAIWAN,GLOBAL UNICHIP CORP,4551,GLOBAL PMX,0.6967,FinLab company_basic_info:英文簡稱
TAIWAN,SIMPLO TECHNOLOGY CO,6863,Arizon RFID Technology,0.6667,TWSE OpenAPI t187ap03_L:公司名稱
TAIWAN,VIA TECHNOLOGIES,7822,V5 TECHNOLOGIES,0.9032,FinLab company_basic_info:英文簡稱
TAIWAN,YOUNG FAST OPTOELECTRONI,3504,Young Optics,0.5856,FinLab company_basic_info:英文簡稱
TAIWAN,CHINA LIFE INSURANCE CO,2850,SK Insurance,0.625,FinLab company_basic_info:英文簡稱
TAIWAN,FORMOSA SUMCO TECHNOLOGY,8171,Formosa,0.9192,FinLab company_basic_info:英文簡稱
TAIWAN,ZHEN DING TECHNOLOGY,6863,Arizon RFID Technology,0.7143,TWSE OpenAPI t187ap03_L:公司名稱
TAIWAN,RICHTEK TECHNOLOGY CORP,6863,Arizon RFID Technology,0.65,TWSE OpenAPI t187ap03_L:公司名稱
TAIWAN,CHINA PETROCHEMICAL DEV,1809,China Glaze,0.4418,FinLab company_basic_info:英文簡稱
TAIWAN,LEE CHANG YUNG CHEM IND,1513,CHEM,0.8774,FinLab company_basic_info:英文簡稱
TAIWAN,NAN KANG RUBBER TIRE CO,6504,NAN LIU,0.4004,FinLab company_basic_info:英文簡稱
TAIWAN,FAR EAST DEPT STORES,4904,Far EasTone,0.6106,FinLab company_basic_info:英文簡稱
TAIWAN,FORMOSA INTL HOTELS,8171,Formosa,0.9268,FinLab company_basic_info:英文簡稱
TAIWAN,SCINOPHARM TAIWAN,3066,TAIWAN OASIS,0.5,FinLab company_basic_info:英文簡稱
TAIWAN,TAIWAN HIGH SPEED RAIL,9938,TAIWAN PAIHO,0.6182,FinLab company_basic_info:英文簡稱
TAIWAN,ASIA PACIFIC TELECOM CO,3019,ASIA,0.91,FinLab company_basic_info:英文簡稱
TAIWAN,YANG MING MARINE TRANSP,4420,Kwang Ming,0.4848,FinLab company_basic_info:英文簡稱
TAIWAN,FOXCONN TECHNOLOGY CO,6863,Arizon RFID Technology,0.65,TWSE OpenAPI t187ap03_L:公司名稱
TAIWAN,ASIA VITAL COMPONENTS,3019,ASIA,0.909,FinLab company_basic_info:英文簡稱
TAIWAN,ASIA CEMENT CORP,3019,ASIA,0.9264,FinLab company_basic_info:英文簡稱
TAIWAN,FAR EASTERN NEW CENTURY,4904,Far EasTone,0.63,FinLab company_basic_info:英文簡稱
TAIWAN,TECO ELECTRIC & MACH,1504,TECO,0.9082,FinLab company_basic_info:英文簡稱
TAIWAN,ASIA OPTICAL,3019,ASIA,0.9233,FinLab company_basic_info:英文簡稱
TAIWAN,CATHAY REAL ESTATE DEV,2501,CATHAY RED,0.655,FinLab company_basic_info:英文簡稱
TAIWAN,CHINA MOTOR CORP,2207,HOTAI MOTOR,0.7273,FinLab company_basic_info:英文簡稱
TAIWAN,PAN-INTERNATIONAL IND,2915,RUENTEX IND.LTD,0.4375,FinLab company_basic_info:英文簡稱
TAIWAN,SINOAMERICAN SILICON PRO,4973,Silicon Power,0.5405,FinLab company_basic_info:英文簡稱
TAIWAN,CHINESE GAMER INT'L,7590,Yiho Int'l,0.5714,FinLab company_basic_info:英文簡稱
TAIWAN,CMC MAGNETICS CORP,2323,CMC,0.6967,FinLab company_basic_info:英文簡稱
TAIWAN,POWERCHIP TECHNOLOGY,6863,Arizon RFID Technology,0.6667,TWSE OpenAPI t187ap03_L:公司名稱
TAIWAN,EVERLIGHT ELECTRONICS CO,2393,EVERLIGHT,0.9329,FinLab company_basic_info:英文簡稱
TAIWAN,TAIWAN GLASS INDL CORP,3066,TAIWAN OASIS,0.7197,FinLab company_basic_info:英文簡稱
TAIWAN,TAIWAN FERTILIZER CO,9924,TAIWAN FU HSING,0.5925,FinLab company_basic_info:英文簡稱
TAIWAN,YULON MOTOR CO,2207,HOTAI MOTOR,0.6364,FinLab company_basic_info:英文簡稱
TAIWAN,FORMOSA TAFFETA CO,8171,Formosa,0.9367,FinLab company_basic_info:英文簡稱
TAIWAN,INTL GAMES SYSTEM C,1906,Baolong Intl.,0.4,FinLab company_basic_info:英文簡稱
TAIWAN,GOLD CIRCUIT ELECTRONICS,4503,GOLD RAIN,0.4542,FinLab company_basic_info:英文簡稱
TAIWAN,KING YUAN ELECTRONICS CO,5474,YUAN,0.879,FinLab company_basic_info:英文簡稱
TAIWAN,ABILITY OPTO ELECTRONICS,3362,ABILITY,0.9192,FinLab company_basic_info:英文簡稱
TAIWAN,AMBASSADOR HOTEL (THE),2706,FIRST HOTEL,0.5185,FinLab company_basic_info:英文簡稱
TAIWAN,CHANNEL WELL TECH CO,8358,CO-TECH,0.8835,FinLab company_basic_info:英文簡稱
TAIWAN,DEPO AUTO PARTS INDL CO,6605,DEPO,0.91,FinLab company_basic_info:英文簡稱
TAIWAN,EVERGREEN AVIATION TECH,8358,CO-TECH,0.8774,FinLab company_basic_info:英文簡稱
TAIWAN,SUNONWEALTH ELEC MACHINE,3652,Unitech elec.,0.5,FinLab company_basic_info:英文簡稱
TAIWAN,RDC SEMICONDUCTOR CO,3228,RDC,0.6967,FinLab company_basic_info:英文簡稱
TAIWAN,CHENMING ELECTRONIC TECH,3625,C-TECH,0.885,FinLab company_basic_info:英文簡稱
