country,company_name,stock_code,matched_name,mapping_source,mapping_score,mapping_status
USA,DYNEGY A,,,,0.0,needs_review
USA,FIRST SOLAR,FSLR,"FIRST SOLAR, INC.",SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,FOSTER WHEELER CORP,,,,0.0,needs_review
USA,MCDERMOTT INTERNATIONAL,,,,0.0,needs_review
USA,CIRCUIT CITY,,,,0.0,needs_review
USA,CONVERGYS CORP,,,,0.0,needs_review
USA,CORP EXECUTIVE BOARD CO,,,,0.0,needs_review
USA,TENET HEALTHCARE CORP,THC,TENET HEALTHCARE CORP,SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,TIME WARNER CABLE-A,,,,0.0,needs_review
USA,ALPHA NAT RESOURCES,,,,0.0,needs_review
USA,PETROHAWK ENERGY CORP,,,,0.0,needs_review
USA,AUTONATION,AN,"AUTONATION, INC.",SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,OSHKOSH CORP,OSK,OSHKOSH CORP,SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,LUBRIZOL CORP,,,,0.0,needs_review
USA,XL CAPITAL,,,,0.0,needs_review
USA,ASSOCIATED BANC-CORP,ASB,ASSOCIATED BANC-CORP,SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,CAMDEN PROPERTY TRUST,CPT,CAMDEN PROPERTY TRUST,SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,REALTY INCOME CORP,O,REALTY INCOME CORP,SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,NII HOLDINGS B,,,,0.0,needs_review
USA,MICHAEL KORS HOLDINGS,,,,0.0,needs_review
USA,TESLA MOTORS,,,,0.0,needs_review
USA,ULTRA PETROLEUM CORP,,,,0.0,needs_review
TAIWAN,ECLAT TEXTILE COMPANY,,,,0.0,needs_review
TAIWAN,TUNG HO STEEL ENTERPRISE,,,,0.0,needs_review
USA,TABLEAU SOFTWARE A,,,,0.0,needs_review
USA,DIAMOND OFFSHORE DRILL,,,,0.0,needs_review
USA,LIBERTY BROADBAND C,LBRDA,Liberty Broadband Corp,SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,IONIS PHARMACEUTICALS,IONS,IONIS PHARMACEUTICALS INC,SEC company_tickers_exchange,1.0,mapped_exact_normalized
TAIWAN,GENERAL INTERFACE SOLN,,,,0.0,needs_review
TAIWAN,OBI PHARMA,,,,0.0,needs_review
USA,ROKU A,ROKU,"ROKU, INC",SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,SAREPTA THERAPEUTICS,SRPT,"Sarepta Therapeutics, Inc.",SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,CHEMOURS CO,CC,Chemours Co,SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,COMMSCOPE HOLDING CO,,,,0.0,needs_review
USA,P G & E CORP,,,,0.0,needs_review
USA,PELOTON INTERACTIVE A,PTON,"PELOTON INTERACTIVE, INC.",SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,ZSCALER,ZS,"Zscaler, Inc.",SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,HOLLYFRONTIER,,,,0.0,needs_review
TAIWAN,ASMEDIA TECHNOLOGY,,,,0.0,needs_review
TAIWAN,CHINA AIRLINES,,,,0.0,needs_review
TAIWAN,TATUNG,2371,TATUNG COMPANY,FinLab company_basic_info:英文簡稱,1.0,mapped_exact_normalized
USA,AMC ENTERTAINMENT HLDG A,,,,0.0,needs_review
USA,DOORDASH A,DASH,"DoorDash, Inc.",SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,REINSURANCE GRP AMERICA,,,,0.0,needs_review
TAIWAN,MOMO.COM,8454,momo,FinLab company_basic_info:英文簡稱,1.0,mapped_exact_normalized
TAIWAN,TAIWAN BUSINESS BANK,,,,0.0,needs_review
USA,CARLISLE COS,,,,0.0,needs_review
USA,GAMING & LEISURE PPTYS,,,,0.0,needs_review
USA,TEXAS PACIFIC LAND,TPL,Texas Pacific Land Corp,SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,CARVANA A,CVNA,CARVANA CO.,SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,UPSTART HOLDINGS,UPST,"Upstart Holdings, Inc.",SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,CONFLUENT A,,,,0.0,needs_review
USA,DRAFTKINGS A,DKNG,DraftKings Inc.,SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,JABIL CIRCUIT,,,,0.0,needs_review
USA,MANHATTAN ASSOCIATES,MANH,MANHATTAN ASSOCIATES INC,SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,ROBINHOOD MARKETS A,HOOD,"Robinhood Markets, Inc.",SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,SUPER MICRO COMPUTER,SMCI,"Super Micro Computer, Inc.",SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,ADVANCE AUTO PARTS,AAP,ADVANCE AUTO PARTS INC,SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,ALCOA (NEW),AA,Alcoa Corp,SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,LIBERTY GLOBAL A,LBTYA,Liberty Global Ltd.,SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,MASIMO,MASI,MASIMO CORP,SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,NOVOCURE,NVCR,NovoCure Ltd,SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,UGI CORP,UGI,UGI Corporation Common Stock,NasdaqTrader otherlisted,1.0,mapped_exact_normalized
TAIWAN,GIGABYTE TECHNOLOGY CO,,,,0.0,needs_review
TAIWAN,WIN SEMICONDUCTORS,,,,0.0,needs_review
USA,FLUTTER ENTMT(US),,,,0.0,needs_review
USA,CAESARS ENT INC,,,,0.0,needs_review
USA,CLEVELAND CLIFFS,CLF,CLEVELAND-CLIFFS INC.,SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,ETSY,ETSY,ETSY INC,SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,LATTICE SEMICONDUCTOR,LSCC,LATTICE SEMICONDUCTOR CORP,SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,PAYLOCITY HOLDING CORP,PCTY,Paylocity Holding Corp,SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,REPLIGEN CORP,RGEN,REPLIGEN CORP,SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,UIPATH A,PATH,"UiPath, Inc.",SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,UNITY SOFTWARE,U,Unity Software Inc.,SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,AFFIRM HOLDINGS A,AFRM,"Affirm Holdings, Inc.",SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,ROCKET LAB CORP,RKLB,Rocket Lab Corp,SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,SOFI TECHNOLOGIES,SOFI,"SoFi Technologies, Inc.",SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,TAPESTRY,TPR,"TAPESTRY, INC.",SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,AVANTOR,AVTR,"Avantor, Inc.",SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,CONAGRA BRANDS,CAG,CONAGRA BRANDS INC.,SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,LKQ CORP,LKQ,LKQ CORP,SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,THE CAMPBELL'S,CPB,CAMPBELL'S Co,SEC company_tickers_exchange,1.0,mapped_exact_normalized
TAIWAN,CALIWAY BIOPHARMA,,,,0.0,needs_review
TAIWAN,KING SLIDE WORKS CO,,,,0.0,needs_review
TAIWAN,POU CHEN CORP,,,,0.0,needs_review
TAIWAN,RUENTEX DEVELOPMENT CO,,,,0.0,needs_review
USA,ANNALY CAPITAL MGMT,,,,0.0,needs_review
USA,HENRY SCHEIN,HSIC,HENRY SCHEIN INC,SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,NASDAQ STOCK MARKET,,,,0.0,needs_review
USA,AMBAC FINANCIAL GROUP,,,,0.0,needs_review
USA,E*TRADE GROUP,,,,0.0,needs_review
USA,MBIA,MBI,MBIA INC,SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,PHARMACEUTICAL PRDCT DEV,,,,0.0,needs_review
USA,DELTA AIR LINES,DAL,"DELTA AIR LINES, INC.",SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,DEVRY,,,,0.0,needs_review
USA,ITT EDUCATIONAL SERVICES,,,,0.0,needs_review
USA,MYLAN,,,,0.0,needs_review
USA,NORTHEAST UTILITIES,,,,0.0,needs_review
USA,NSTAR,,,,0.0,needs_review
USA,OMNICARE,,,,0.0,needs_review
USA,O'REILLY AUTOMOTIVE,ORLY,O REILLY AUTOMOTIVE INC,SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,PUGET ENERGY,,,,0.0,needs_review
USA,AMERICAN CAPITAL,,,,0.0,needs_review
USA,APARTMENT INVEST & MGMT,,,,0.0,needs_review
USA,DEVELOPERS DIVERS REALTY,,,,0.0,needs_review
