company_name,candidate_code,candidate_name,score,source,delist_date,event_rows,reviews
ALAR PHARMACEUTICALS,6497,ASLAN PHARMACEUTICALS LIMITED,0.9268,TPEx EN deListed,2020-08-25,2,2024-05;2024-11
APEX INTERNATIONAL,4927,"Apex International Co., Ltd.",1.0,TPEx EN deListed,2015-09-08,2,2020-11;2024-05
APEX INTERNATIONAL,4987,"GODEX INTERNATIONAL CO., LTD",0.8649,TPEx EN deListed,2026-05-29,2,2020-11;2024-05
ATEN INTERNATIONAL,4927,"Apex International Co., Ltd.",0.8889,TPEx EN deListed,2015-09-08,1,2021-11
ATEN INTERNATIONAL,1566,"JaBon International Co.,Ltd.",0.8649,TPEx EN deListed,2019-07-31,1,2021-11
BOARDTEK ELECTRONICS CO,5349,BOARDTEK ELECTRONICS COR.,0.9091,TPEx EN deListed,2020-11-04,2,2013-11;2017-05
BORA PHARMACEUTICALS,6472,"Bora Pharmaceuticals Co., Ltd.",1.0,TPEx EN deListed,2023-12-19,1,2022-11
CASETEK HOLDINGS,5264,Casetek Holdings Limited,1.0,TWSE EN suspendListing,2021/01/15,3,2015-05;2017-05
CRYSTALWISE TECHNOLOGY,4944,CRYSTALWISE TECHNOLOGY INC.,1.0,TPEx EN deListed,2023-11-01,2,2011-05;2011-11
CUB ELECPARTS,2231,CUB ELECPARTS INC.,1.0,TPEx EN deListed,2010-11-19,4,2010-11;2011-11;2014-05;2025-02
DELSOLAR CO,3599,DelSolar,1.0,TWSE EN suspendListing,2013/05/31,2,2009-05;2012-11
EFUN TECHNOLOGY,6243,ENE Technology Inc.,0.8966,TPEx EN deListed,2009-12-17,1,2011-11
ENE TECHNOLOGY CO,6243,ENE Technology Inc.,1.0,TPEx EN deListed,2009-12-17,2,2009-11;2011-11
ENG ELECTRIC CO,8287,"ENG ELECTRIC CO., LTD.",1.0,TPEx EN deListed,2020-05-11,2,2010-11;2013-05
GINKO INTERNATIONAL,8406,"Ginko International Co., Ltd.",1.0,TPEx EN deListed,2022-04-29,2,2015-05;2022-05
GLOBAL MIXED-MODE TECH,8081,GLOBAL MIXED-MODE TECHNOLOGY INC,0.88,TPEx EN deListed,2008-12-30,2,2015-11;2020-11
GREEN SEAL HOLDING,1262,Green Seal Holding Limited,1.0,TWSE EN suspendListing,2019/10/14,2,2015-05;2018-05
HERMES MICROVISION,3658,Hermes Microvision Inc.,1.0,TPEx EN deListed,2016-11-22,1,2012-11
J TOUCH CORP,3584,JTouch,0.9231,TWSE EN suspendListing,2016/08/03,1,2012-11
JIH SUN FINANCIAL,5820,"JIHSUN FINANCIAL HOLDING CO., LTD.",0.9697,TPEx EN deListed,2022-11-11,1,2022-05
KINGPAK TECHNOLOGY,6238,Kingpak Technology Inc.,1.0,TPEx EN deListed,2020-06-19,2,2016-05;2018-11
LI PENG ENTERPRISE CO,4426,"LI CHENG ENTERPRISE CO.,LTD.",0.9189,TPEx EN deListed,2011-12-16,1,2018-05
LITE-ON IT,8008,LITE-ON IT,1.0,TWSE EN suspendListing,2013/07/12,2,2010-11;2011-05
MAGLAYERS SCIENTIFIC TE,3068,"MAG.LAYERS Scientific-Technics Co.,Ltd.",0.8679,TPEx EN deListed,2018-06-13,1,2011-11
MICROLIFE CORP,4103,MICROLIFE CORPORATION,1.0,TPEx EN deListed,2018-11-13,1,2009-05
MITAC INTERNATIONAL,5306,KMC (KUEI MENG) INTERNATIONAL INC.,0.8889,TPEx EN deListed,2022-03-08,1,2011-05
NICHIDENBO,3090,NICHIDENBO CORPORATION,1.0,TPEx EN deListed,2007-12-31,1,2026-02
PHARMAESSENTIA,6446,PharmaEssentia Corp.,1.0,TPEx EN deListed,2024-01-25,2,2016-11;2022-11
PORTWELL INC,6105,"Portwell, Inc.",1.0,TPEx EN deListed,2017-10-17,1,2011-11
POWERCHIP TECHNOLOGY,5346,Powerchip Technology Corporation,1.0,TPEx EN deListed,2012-12-11,3,2011-11;2012-11
PRINCO CORP,8053,PRINCO CORP.,1.0,TPEx EN deListed,2016-05-11,1,2010-11
T3EX GLOBAL HOLDINGS,2636,T3EX Global Holdings Corp.,1.0,TPEx EN deListed,2016-12-22,2,2021-11;2024-11
TA CHONG SECURITIES CO,6022,"Ta Chong Securities Co., Ltd.",1.0,TPEx EN deListed,2017-08-28,2,2009-11;2012-05
TAIWAN LIPOSOME,4152,"Taiwan Liposome Company, Ltd.",1.0,TPEx EN deListed,2021-10-08,2,2013-05;2017-05
TAIWAN SEMICONDUCTOR CO,5466,ThaiLin Semiconductor Corp.,0.878,TPEx EN deListed,2015-06-17,2,2016-05;2025-02
THAILIN SEMICONDUCTOR,5466,ThaiLin Semiconductor Corp.,1.0,TPEx EN deListed,2015-06-17,1,2011-11
TWI PHARMACEUTICALS,4180,"TWi Pharmaceuticals, Inc.",1.0,TPEx EN deListed,2019-08-05,1,2018-11
VIVOTEK INC,3454,VIVOTEK INC.,1.0,TPEx EN deListed,2011-07-22,2,2012-05;2024-11
WEI MON INDUSTRY CO,8925,"WEI MON INDUSTRY CO.,LTD.",1.0,TPEx EN deListed,2016-06-27,1,2013-05
XPEC ENTERTAINMENT,3662,XPEC Entertainment Inc.,1.0,TPEx EN deListed,2017-10-19,2,2014-11;2016-11
ZENTEL ELECTRONIC CORP,3553,Zentel Electronics Corporation,0.9714,TPEx EN deListed,2017-10-01,1,2011-05
