company_name,event_rows,products,actions,reviews,stock_code,mapping_status,mapping_score,matched_name,mapping_source,verified_mapping,ticker_in_required_universe,backtest_ready_rows,not_ready_reasons
91APP,2,small_cap,addition;deletion,2021-11;2022-11,6741,mapped_exact_normalized,1.0,91APP Inc.,FinLab company_basic_info:公司名稱,true,true,2,
A.G.V. PRODUCTS,2,small_cap,addition;deletion,2009-05;2014-05,,needs_review,0.0,,,false,false,0,mapping_status=needs_review;missing_stock_code
ABILITY ENTERPRISE CO,2,small_cap,addition;deletion,2016-05;2025-11,,needs_review,0.0,,,false,false,0,mapping_status=needs_review;missing_stock_code
ABILITY OPTO ELECTRONICS,3,small_cap,addition;deletion,2021-05;2021-11;2023-08,,needs_review,0.0,,,false,false,0,mapping_status=needs_review;missing_stock_code
ABLEPRINT TECHNOLOGY,1,small_cap,addition,2025-08,,needs_review,0.0,,,false,false,0,mapping_status=needs_review;missing_stock_code
ABLEREX ELECTRONICS CO,2,small_cap,addition;deletion,2010-11;2011-11,3628,verified_tw_reference_fuzzy,0.9268,ABLEREX,FinLab company_basic_info:英文簡稱,true,true,2,
ABNOVA CORP,2,small_cap,addition;deletion,2010-05;2011-11,4133,mapped_exact_normalized,1.0,Abnova,FinLab company_basic_info:英文簡稱,true,true,2,
ACCTON TECHNOLOGY CORP,3,small_cap;standard,addition;deletion,2007-05;2019-11,2345,verified_tw_reference_fuzzy,0.9253,ACCTON,FinLab company_basic_info:英文簡稱,true,true,3,
ACER,2,small_cap;standard,addition;deletion,2025-11,2353,mapped_exact_normalized,1.0,ACER,FinLab company_basic_info:英文簡稱,true,true,2,
ACES ELECTRONIC CO,2,small_cap,addition;deletion,2010-05;2013-11,,needs_review,0.0,,,false,false,0,mapping_status=needs_review;missing_stock_code
ACHEM TECHNOLOGY,2,small_cap,addition;deletion,2010-11;2015-11,,needs_review,0.0,,,false,false,0,mapping_status=needs_review;missing_stock_code
ACME ELECTRONICS CORP,2,small_cap,addition;deletion,2010-05;2014-11,,needs_review,0.0,,,false,false,0,mapping_status=needs_review;missing_stock_code
ACTER CO,3,small_cap,addition;deletion,2011-05;2014-05;2023-08,5536,mapped_exact_normalized,1.0,ACTER,FinLab company_basic_info:英文簡稱,true,true,3,
ACTRON TECHNOLOGY,3,small_cap,addition;deletion,2018-05;2021-11;2025-05,,needs_review,0.0,,,false,false,0,mapping_status=needs_review;missing_stock_code
ADDCN TECHNOLOGY,2,small_cap,addition;deletion,2014-05;2021-11,5287,verified_tw_reference_fuzzy,0.9213,ADDCN,FinLab company_basic_info:英文簡稱,true,true,2,
ADIMMUNE,4,small_cap,addition;deletion,2011-05;2015-11;2020-11;2024-11,,needs_review,0.0,,,false,false,0,mapping_status=needs_review;missing_stock_code
ADLINK TECHNOLOGY,4,small_cap,addition;deletion,2010-11;2018-11;2020-05;2025-11,6166,verified_tw_reference_fuzzy,0.9253,ADLINK,FinLab company_basic_info:英文簡稱,true,true,4,
ADV LITHIUM ELECTROCHEM,1,small_cap,deletion,2015-11,,needs_review,0.0,,,false,false,0,mapping_status=needs_review;missing_stock_code
ADV WIRELESS SC,3,small_cap,addition;deletion,2015-11;2018-11;2019-11,,needs_review,0.0,,,false,false,0,mapping_status=needs_review;missing_stock_code
ADV WIRELESS SEMICONDUC,2,small_cap,addition;deletion,2010-05;2012-11,,needs_review,0.0,,,false,false,0,mapping_status=needs_review;missing_stock_code
ADVANCED CERAMIC X CORP,2,small_cap,addition;deletion,2009-05;2024-11,,needs_review,0.0,,,false,false,0,mapping_status=needs_review;missing_stock_code
ADVANCED ENERGY SOLUTION,1,small_cap,addition,2021-11,,needs_review,0.0,,,false,false,0,mapping_status=needs_review;missing_stock_code
ADVANCED INT'L MULTITECH,1,small_cap,deletion,2013-11,,needs_review,0.0,,,false,false,0,mapping_status=needs_review;missing_stock_code
ADVANCED LITH ELCTROCHM,1,small_cap,addition,2014-05,,needs_review,0.0,,,false,false,0,mapping_status=needs_review;missing_stock_code
ADVANCETEK ENTERPRISE CO,4,small_cap,addition;deletion,2013-11;2014-11;2024-05;2025-11,1442,verified_tw_reference_fuzzy,0.9376,ADVANCETEK,FinLab company_basic_info:英文簡稱,true,true,4,
AIC,2,small_cap,addition;deletion,2023-11;2025-02,9912,mapped_exact_normalized,1.0,AIC,FinLab company_basic_info:英文簡稱,true,true,2,
AIRTAC INTERNATIONAL,5,small_cap;standard,addition;deletion,2012-05;2013-05;2017-11,1590,verified_tw_reference_fuzzy,0.92,AIRTAC,FinLab company_basic_info:英文簡稱,true,true,5,
ALAR PHARMACEUTICALS,2,small_cap,addition;deletion,2024-05;2024-11,,needs_review,0.0,,,false,false,0,mapping_status=needs_review;missing_stock_code
ALCHIP TECHNOLOGIES,3,small_cap;standard,addition;deletion,2020-05;2023-11,3661,verified_tw_reference_fuzzy,0.9216,Alchip,FinLab company_basic_info:英文簡稱,true,true,3,
ALCOR MICRO CORP,1,small_cap,deletion,2012-11,8054,mapped_exact_normalized,1.0,Alcor Micro,FinLab company_basic_info:英文簡稱,true,true,1,
ALEXANDER MARINE,1,small_cap,deletion,2025-02,,needs_review,0.0,,,false,false,0,mapping_status=needs_review;missing_stock_code
ALI CORP,1,small_cap,deletion,2015-11,3041,mapped_exact_normalized,1.0,ALi,FinLab company_basic_info:英文簡稱,true,true,1,
ALL RING TECH,2,small_cap,addition,2024-11;2025-02,6187,verified_tw_reference_fuzzy,0.9515,ALL RING,FinLab company_basic_info:英文簡稱,true,true,2,
ALLIED SUPREME CORP,1,small_cap,addition,2022-05,4702,verified_tw_reference_fuzzy,0.9329,ALLIED,FinLab company_basic_info:英文簡稱,true,true,1,
ALPHA NETWORKS,2,small_cap,addition;deletion,2018-11;2020-11,,needs_review,0.0,,,false,false,0,mapping_status=needs_review;missing_stock_code
ALTEK CORP,1,small_cap,deletion,2016-11,3059,mapped_exact_normalized,1.0,Altek,FinLab company_basic_info:英文簡稱,true,true,1,
