country,company_name,stock_code,matched_name,mapping_status,mapping_score,mapping_source,verification_basis,event_rows
TAIWAN,INOTERA MEMORIES (ATM),3474,"Inotera Memories, Inc. / 華亞科技",verified_tw_historical_round7,0.99,Same issuer as INOTERA MEMORIES; ATM line mapped to historical ticker 3474 for MSCI event identity.,manual_override_prior_evidence,1
TAIWAN,CHINA PETROCHEMICAL DEV,1314,China Petrochemical Development Corporation,verified_tw_current_round7,1.0000,Round7 current-code discovery: Yahoo Finance search matched `China Petrochemical Development Corporation`/1314.TW; code exists in TWSE/TPEx/FinLab Taiwan reference universe. Local refs: CPDC | 中國石油化學工業開發(股)公司 | 中石化,yahoo_name_match_plus_official_current_code_universe,4
TAIWAN,CASETEK HOLDINGS,5264,Casetek Holdings Limited,verified_tw_historical_round7,1.0000,Round7 official historical delisted source: TWSE EN suspendListing official delist_date=2021/01/15,official_twse_tpex_delisted_english,3
TAIWAN,SCINOPHARM TAIWAN,1789,"ScinoPharm Taiwan, Ltd.",verified_tw_current_round7,1.0000,"Round7 current-code discovery: Yahoo Finance search matched `ScinoPharm Taiwan, Ltd.`/1789.TW; code exists in TWSE/TPEx/FinLab Taiwan reference universe. Local refs: SPT | 台灣神隆股份有限公司 | 神隆",yahoo_name_match_plus_official_current_code_universe,4
TAIWAN,TAIMED BIOLOGICS,4147,TaiMed Biologics Inc.,verified_tw_current_round7,1.0000,Round7 current-code discovery: Yahoo Finance search matched `TaiMed Biologics Inc.`/4147.TWO; code exists in TWSE/TPEx/FinLab Taiwan reference universe. Local refs: TMB | 中裕 | 中裕新藥股份有限公司,yahoo_name_match_plus_official_current_code_universe,4
TAIWAN,GLOBALWAFERS,6488,"GlobalWafers Co., Ltd.",verified_tw_current_round7,1.0000,"Round7 current-code discovery: Yahoo Finance search matched `GlobalWafers Co., Ltd.`/6488.TWO; code exists in TWSE/TPEx/FinLab Taiwan reference universe. Local refs: GWC | 環球晶 | 環球晶圓股份有限公司",yahoo_name_match_plus_official_current_code_universe,3
TAIWAN,TAIWAN HIGH SPEED RAIL,2633,Taiwan High Speed Rail Corporation,verified_tw_current_round7,1.0000,Round7 current-code discovery: Yahoo Finance search matched `Taiwan High Speed Rail Corporation`/2633.TW; code exists in TWSE/TPEx/FinLab Taiwan reference universe. Local refs: THSRC | 台灣高速鐵路股份有限公司 | 台灣高鐵,yahoo_name_match_plus_official_current_code_universe,3
TAIWAN,YANG MING MARINE TRANSP,2609,Yang Ming Marine Transport Corporation,verified_tw_current_round7,1.0000,Round7 current-code discovery: Yahoo Finance search matched `Yang Ming Marine Transport Corporation`/2609.TW; code exists in TWSE/TPEx/FinLab Taiwan reference universe. Local refs: YMTC | 陽明 | 陽明海運股份有限公司,yahoo_name_match_plus_official_current_code_universe,4
TAIWAN,EVA AIRWAYS CORP,2618,EVA Airways Corp.,verified_tw_current_round7,1.0000,Round7 current-code discovery: Yahoo Finance search matched `EVA Airways Corp.`/2618.TW; code exists in TWSE/TPEx/FinLab Taiwan reference universe. Local refs: EVAAIR | 長榮航 | 長榮航空股份有限公司,yahoo_name_match_plus_official_current_code_universe,4
TAIWAN,POWERCHIP SEMICONDUCTOR,6770,Powerchip Semiconductor Manufacturing Corp.,verified_tw_current_round7,1.0000,Round7 current-code discovery: Yahoo Finance search matched `Powerchip Semiconductor Manufacturing Corp.`/6770.TW; code exists in TWSE/TPEx/FinLab Taiwan reference universe. Local refs: PSMC | 力晶積成電子製造股份有限公司 | 力積電,yahoo_name_match_plus_official_current_code_universe,3
TAIWAN,FOXCONN TECHNOLOGY CO,2354,"Foxconn Technology Co., Ltd.",verified_tw_current_round7,1.0000,"Round7 current-code discovery: Yahoo Finance search matched `Foxconn Technology Co., Ltd.`/2354.TW; code exists in TWSE/TPEx/FinLab Taiwan reference universe. Local refs: FTC | 鴻準 | 鴻準精密工業股份有限公司",yahoo_name_match_plus_official_current_code_universe,2
TAIWAN,ASIA VITAL COMPONENTS,3017,"Asia Vital Components Co., Ltd.",verified_tw_current_round7,1.0000,"Round7 current-code discovery: Yahoo Finance search matched `Asia Vital Components Co., Ltd.`/3017.TW; code exists in TWSE/TPEx/FinLab Taiwan reference universe. Local refs: AVC | 奇鋐 | 奇鋐科技股份有限公司",yahoo_name_match_plus_official_current_code_universe,4
TAIWAN,FORTUNE ELECTRIC CO,1519,"Fortune Electric Co., Ltd.",verified_tw_current_round7,1.0000,"Round7 current-code discovery: Yahoo Finance search matched `Fortune Electric Co., Ltd.`/1519.TW; code exists in TWSE/TPEx/FinLab Taiwan reference universe. Local refs: FE | 華城 | 華城電機股份有限公司",yahoo_name_match_plus_official_current_code_universe,6
TAIWAN,ASIA CEMENT CORP,1102,Asia Cement Corporation,verified_tw_current_round7,1.0000,Round7 current-code discovery: Yahoo Finance search matched `Asia Cement Corporation`/1102.TW; code exists in TWSE/TPEx/FinLab Taiwan reference universe. Local refs: ACC | 亞泥 | 亞洲水泥股份有限公司,yahoo_name_match_plus_official_current_code_universe,2
TAIWAN,FAR EASTERN NEW CENTURY,1402,Far Eastern New Century Corporation,verified_tw_current_round7,1.0000,Round7 current-code discovery: Yahoo Finance search matched `Far Eastern New Century Corporation`/1402.TW; code exists in TWSE/TPEx/FinLab Taiwan reference universe. Local refs: FENC | 遠東新 | 遠東新世紀股份有限公司,yahoo_name_match_plus_official_current_code_universe,2
TAIWAN,TECO ELECTRIC & MACH,1504,"TECO Electric & Machinery Co., Ltd.",verified_tw_current_round7,1.0000,"Round7 current-code discovery: Yahoo Finance search matched `TECO Electric & Machinery Co., Ltd.`/1504.TW; code exists in TWSE/TPEx/FinLab Taiwan reference universe. Local refs: TECO | 東元 | 東元電機股份有限公司",yahoo_name_match_plus_official_current_code_universe,6
TAIWAN,ASIA OPTICAL,3019,"Asia Optical Co., Inc.",verified_tw_current_round7,1.0000,"Round7 current-code discovery: Yahoo Finance search matched `Asia Optical Co., Inc.`/3019.TW; code exists in TWSE/TPEx/FinLab Taiwan reference universe. Local refs: ASIA | 亞光 | 亞洲光學股份有限公司",yahoo_name_match_plus_official_current_code_universe,2
TAIWAN,CATHAY REAL ESTATE DEV,2501,"Cathay Real Estate Development Co., Ltd.",verified_tw_current_round7,1.0000,"Round7 current-code discovery: Yahoo Finance search matched `Cathay Real Estate Development Co., Ltd.`/2501.TW; code exists in TWSE/TPEx/FinLab Taiwan reference universe. Local refs: CATHAY RED | 國建 | 國泰建設股份有限公司",yahoo_name_match_plus_official_current_code_universe,2
TAIWAN,CHINA MOTOR CORP,2204,China Motor Corporation,verified_tw_current_round7,1.0000,Round7 current-code discovery: Yahoo Finance search matched `China Motor Corporation`/2204.TW; code exists in TWSE/TPEx/FinLab Taiwan reference universe. Local refs: CMC | 中華 | 中華汽車工業股份有限公司,yahoo_name_match_plus_official_current_code_universe,6
TAIWAN,PAN-INTERNATIONAL IND,2328,Pan-International Industrial Corp.,verified_tw_current_round7,1.0000,Round7 current-code discovery: Yahoo Finance search matched `Pan-International Industrial Corp.`/2328.TW; code exists in TWSE/TPEx/FinLab Taiwan reference universe. Local refs: PI | 廣宇 | 廣宇科技股份有限公司,yahoo_name_match_plus_official_current_code_universe,2
