product,review,issue_date,announcement_date,effective_close_date,country,action,company_name,stock_code,mapping_status,mapping_score,matched_name,mapping_source,source_pdf,row_order
standard,2007-05,2007-05-03,2007-05-03,2007-05-31,TAIWAN,deletion,PHOENIXTEC POWER CO,,manual_review_round4,0.0,Phoenixtec Power / Eaton Phoenixtec MMPL,Round4 manual_review: No reliable official/exchange or historical security-master source confirming Phoenixtec Power listed ticker; aggregator-only stock symbol not sufficient.,/Users/johan/Documents/invest/msci_index_reviews/pdf/stdindex/MSCI_May07_STPublicList.pdf,5
standard,2015-05,2015-05-12,2015-05-12,2015-05-29,TAIWAN,deletion,FAR EAST DEPT STORES,,needs_review,0.0,,,/Users/johan/Documents/invest/msci_index_reviews/pdf/stdindex/MSCI_May15_STPublicList.pdf,2
standard,2015-05,2015-05-12,2015-05-12,2015-05-29,TAIWAN,deletion,FORMOSA INTL HOTELS,,needs_review,0.0,,,/Users/johan/Documents/invest/msci_index_reviews/pdf/stdindex/MSCI_May15_STPublicList.pdf,4
standard,2010-11,2010-11-10,2010-11-10,2010-11-30,TAIWAN,addition,SINOAMERICAN SILICON PRO,,needs_review,0.0,,,/Users/johan/Documents/invest/msci_index_reviews/pdf/stdindex/MSCI_Nov10_STPublicList.pdf,6
standard,2010-11,2010-11-10,2010-11-10,2010-11-30,TAIWAN,deletion,CHINESE GAMER INT'L,,needs_review,0.0,,,/Users/johan/Documents/invest/msci_index_reviews/pdf/stdindex/MSCI_Nov10_STPublicList.pdf,1
standard,2012-11,2012-11-14,2012-11-14,2012-11-30,TAIWAN,deletion,SINOAMERICAN SILICON PRO,,needs_review,0.0,,,/Users/johan/Documents/invest/msci_index_reviews/pdf/stdindex/MSCI_Nov12_STPublicList.pdf,5
standard,2024-11,2024-11-06,2024-11-06,2024-11-25,TAIWAN,addition,INTL GAMES SYSTEM C,,needs_review,0.0,,,/Users/johan/Documents/invest/msci_index_reviews/pdf/stdindex/MSCI_Nov24_STPublicList.pdf,1
small_cap,2023-08,2023-08-10,2023-08-10,2023-08-31,TAIWAN,addition,AMBASSADOR HOTEL (THE),,needs_review,0.0,,,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_Aug23_SCPublicList.pdf,3
small_cap,2023-08,2023-08-10,2023-08-10,2023-08-31,TAIWAN,addition,DEPO AUTO PARTS INDL CO,,needs_review,0.0,,,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_Aug23_SCPublicList.pdf,7
small_cap,2023-08,2023-08-10,2023-08-10,2023-08-31,TAIWAN,addition,SUNONWEALTH ELEC MACHINE,,needs_review,0.0,,,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_Aug23_SCPublicList.pdf,15
small_cap,2025-08,2025-08-07,2025-08-07,2025-08-26,TAIWAN,addition,ABLEPRINT TECHNOLOGY,,needs_review,0.0,,,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_Aug25_SCPublicList.pdf,1
small_cap,2025-02,2025-02-11,2025-02-11,2025-02-28,TAIWAN,deletion,HOLYSTONE ENTERPRISE CO,,needs_review,0.0,,,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_Feb25_SCPublicList.pdf,21
small_cap,2025-02,2025-02-11,2025-02-11,2025-02-28,TAIWAN,deletion,INTL CSRC INV HLDGS CO,,needs_review,0.0,,,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_Feb25_SCPublicList.pdf,23
small_cap,2025-02,2025-02-11,2025-02-11,2025-02-28,TAIWAN,deletion,TAIWAN-ASIA SC CORP,,needs_review,0.0,,,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_Feb25_SCPublicList.pdf,33
small_cap,2025-02,2025-02-11,2025-02-11,2025-02-28,TAIWAN,deletion,YUNG SHIN GLOBAL HOLDING,,needs_review,0.0,,,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_Feb25_SCPublicList.pdf,41
small_cap,2026-02,2026-02-10,2026-02-10,2026-02-27,TAIWAN,deletion,YUNGSHIN CONST & DEV,,needs_review,0.0,,,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_Feb26_SCPublicList.pdf,11
small_cap,2009-05,2009-05-13,2009-05-13,2009-05-29,TAIWAN,addition,A.G.V. PRODUCTS,,needs_review,0.0,,,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_May09_SCPublicList.pdf,1
small_cap,2009-05,2009-05-13,2009-05-13,2009-05-29,TAIWAN,addition,COSMOS BANK TAIWAN,,needs_review,0.0,,,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_May09_SCPublicList.pdf,4
small_cap,2009-05,2009-05-13,2009-05-13,2009-05-29,TAIWAN,addition,E-ONE MOLI ENERGY CORP,,needs_review,0.0,,,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_May09_SCPublicList.pdf,8
