country,company_name,stock_code,matched_name,mapping_status,mapping_score,mapping_source,verification_basis,event_rows
TAIWAN,ABLEPRINT TECHNOLOGY,7734,"AblePrint Technology Co., Ltd. / 印能科技",verified_tw_yahoo_google_round8b,0.98,Round8b Company IR says MOPS stock code 7734; Yahoo Finance 7734.TWO / StockAnalysis TPEX:7734.,yahoo_google_seed_after_user_feedback,1
TAIWAN,HOLYSTONE ENTERPRISE CO,3026,"Holy Stone Enterprise Co., Ltd. / 信邦? Holy Stone 禾伸堂",verified_tw_yahoo_round8b,0.98,"Round8b Yahoo Finance: Holy Stone Enterprise Co.,Ltd. 3026.TW; MarketScreener/StockAnalysis confirm TPE:3026.",yahoo_google_seed_after_user_feedback,1
TAIWAN,INTL CSRC INV HLDGS CO,2104,"International CSRC Investment Holdings Co., Ltd. / 國際中橡",verified_tw_yahoo_round8b,0.98,Round8b Yahoo Finance search: International CSRC Investment Holdings -> 2104.TW.,yahoo_google_seed_after_user_feedback,1
TAIWAN,YUNGSHIN CONST & DEV,5508,"Yungshin Construction & Development Co., Ltd. / 永信建",verified_tw_yahoo_round8b,0.98,Round8b Yahoo Finance search: YungShin Construction Development -> 5508.TWO.,yahoo_google_seed_after_user_feedback,2
TAIWAN,JENN FENG NEW ENERGY CO,1538,"Jenn Feng Industrial Tools Co., Ltd. / 正峰",verified_tw_yahoo_round8b,0.98,Round8b Yahoo Finance search: Jenn Feng -> 1538.TW; MSCI name likely Jenn Feng New Energy naming variant.,yahoo_google_seed_after_user_feedback,1
TAIWAN,CHAMPION BUILDING MATRLS,1806,"Champion Building Materials Co., Ltd. / 冠軍",verified_tw_yahoo_round8b,0.98,Round8b Yahoo Finance search: Champion Building Materials -> 1806.TW.,yahoo_google_seed_after_user_feedback,2
TAIWAN,TAIWAN PCB TECHVEST CO,8213,"Taiwan Printed Circuit Board Techvest Co., Ltd. / 志超",verified_tw_yahoo_round8b,0.98,Round8b Yahoo Finance search: Taiwan PCB Techvest -> 8213.TW.,yahoo_google_seed_after_user_feedback,1
TAIWAN,RUENTEX ENGR & CONST,2597,"Ruentex Engineering & Construction Co., Ltd. / 潤弘",verified_tw_yahoo_round8b,0.98,Round8b Yahoo Finance search: Ruentex Engineering Construction -> 2597.TW.,yahoo_google_seed_after_user_feedback,1
TAIWAN,GALLANT PREC MACHINING,5443,"Gallant Precision Machining Co., Ltd. / 均豪",verified_tw_yahoo_round8b,0.98,Round8b Yahoo Finance search: Gallant Precision Machining -> 5443.TWO.,yahoo_google_seed_after_user_feedback,2
TAIWAN,HOLDKEY ELECTRIC WIRE,1618,"Hold-Key Electric Wire & Cable Co., Ltd. / 合機",verified_tw_yahoo_round8b,0.98,Round8b Yahoo Finance search: Hold-Key Electric Wire -> 1618.TW.,yahoo_google_seed_after_user_feedback,2
TAIWAN,YUNGSHIN CONSTR & DEVLPT,5508,"Yungshin Construction & Development Co., Ltd. / 永信建",verified_tw_yahoo_round8b,0.98,Round8b Same issuer abbreviation as YUNGSHIN CONST & DEV -> 5508.TWO.,yahoo_google_seed_after_user_feedback,1
TAIWAN,PROSPERITY DIELECT CO LT,6173,"Prosperity Dielectrics Co., Ltd. / 信昌電",verified_tw_yahoo_round8b,0.98,Round8b Yahoo Finance search: Prosperity Dielectrics -> 6173.TWO.,yahoo_google_seed_after_user_feedback,2
TAIWAN,RUENTEX ENGIN & CONST,2597,"Ruentex Engineering & Construction Co., Ltd. / 潤弘",verified_tw_yahoo_round8b,0.98,Round8b Same issuer abbreviation as Ruentex Engineering & Construction -> 2597.TW.,yahoo_google_seed_after_user_feedback,3
TAIWAN,ADVANCED INT'L MULTITECH,8938,"Advanced International Multitech Co., Ltd. / 明安",verified_tw_yahoo_round8b,0.98,Round8b Yahoo Finance search: Advanced International Multitech -> 8938.TWO.,yahoo_google_seed_after_user_feedback,1
TAIWAN,LAND MARK OPTOELECTRS,3081,LandMark Optoelectronics Corporation / 聯亞,verified_tw_yahoo_round8b,0.98,Round8b Yahoo Finance search: LandMark Optoelectronics -> 3081.TWO.,yahoo_google_seed_after_user_feedback,1
TAIWAN,SUNNY FRIEND ENV TECH,8341,"Sunny Friend Environmental Technology Co., Ltd. / 日友",verified_tw_yahoo_round8b,0.98,Round8b Yahoo Finance search: Sunny Friend Environmental -> 8341.TW.,yahoo_google_seed_after_user_feedback,2
TAIWAN,EASTERN MEDIA INTL,2614,Eastern Media International Corporation / 東森,verified_tw_yahoo_round8b,0.98,Round8b Yahoo Finance search: Eastern Media International -> 2614.TW.,yahoo_google_seed_after_user_feedback,1
TAIWAN,FOXSEMICON INTGR TECH,3413,Foxsemicon Integrated Technology Inc. / 京鼎,verified_tw_yahoo_round8b,0.98,Round8b Yahoo Finance search: Foxsemicon Integrated Technology -> 3413.TW.,yahoo_google_seed_after_user_feedback,1
