country,company_name,event_rows,current_mapping_status,current_matched_name,top_candidate_source,top_candidate_code,top_candidate_name,top_candidate_score,top_candidate_note,manual_instruction
TAIWAN,PHOENIXTEC POWER CO,1,manual_review_round4,Phoenixtec Power / Eaton Phoenixtec MMPL,TPEx EN deListed official,2341,Behavior Tech Computer Corp.,0.4737,delist_date=2012-11-13,Please verify historical TWSE/TPEx stock code from MOPS/TWSE/TPEx/company IR; fill stock_code if confirmed.
TAIWAN,TAIWAN-ASIA SC CORP,1,needs_review,,TWSE EN suspendListing official,1613,Tai-I,0.5,delist_date=2017/11/21,Please verify historical TWSE/TPEx stock code from MOPS/TWSE/TPEx/company IR; fill stock_code if confirmed.
TAIWAN,YUNG SHIN GLOBAL HOLDING,1,needs_review,,TPEx EN deListed official,1408,"CHUNG SHING TEXTILE CO.,LTD",0.5714,delist_date=2006-11-17,Please verify historical TWSE/TPEx stock code from MOPS/TWSE/TPEx/company IR; fill stock_code if confirmed.
TAIWAN,COSMOS BANK TAIWAN,2,needs_review,,TWSE EN suspendListing official,2847,TC Bank,0.6667,delist_date=2016/03/22,Please verify historical TWSE/TPEx stock code from MOPS/TWSE/TPEx/company IR; fill stock_code if confirmed.
TAIWAN,E-ONE MOLI ENERGY CORP,2,needs_review,,TWSE EN suspendListing official,9157,Solargiga Energy Holdings Limited,0.6061,delist_date=2019/11/12,Please verify historical TWSE/TPEx stock code from MOPS/TWSE/TPEx/company IR; fill stock_code if confirmed.
TAIWAN,POWER QUOTIENT INT'L,3,needs_review,,TPEx EN deListed official,3296,"POWERTECH INDUSTRIAL CO., LTD.",0.6,delist_date=2007-12-31,Please verify historical TWSE/TPEx stock code from MOPS/TWSE/TPEx/company IR; fill stock_code if confirmed.
TAIWAN,TAIWAN LAND CORP,2,needs_review,,TWSE EN suspendListing official,4144,Coland Holdings Limited,0.8,delist_date=2020/10/30,Please verify historical TWSE/TPEx stock code from MOPS/TWSE/TPEx/company IR; fill stock_code if confirmed.
TAIWAN,DAHAN DEVELOPMENT CORP,1,needs_review,,TPEx EN deListed official,3266,"Sunty Development Co., LTD",0.7647,delist_date=2014-12-24,Please verify historical TWSE/TPEx stock code from MOPS/TWSE/TPEx/company IR; fill stock_code if confirmed.
TAIWAN,DAXON TECHNOLOGY,1,needs_review,,TPEx EN deListed official,6514,"Radiation Technology, Inc.",0.8333,delist_date=2024-10-18,Please verify historical TWSE/TPEx stock code from MOPS/TWSE/TPEx/company IR; fill stock_code if confirmed.
TAIWAN,CHENMING MOLD INDUSTRY,2,needs_review,,TPEx EN deListed official,8925,"WEI MON INDUSTRY CO.,LTD.",0.7368,delist_date=2016-06-27,Please verify historical TWSE/TPEx stock code from MOPS/TWSE/TPEx/company IR; fill stock_code if confirmed.
TAIWAN,CHIMEI MATERIALS TECH,2,needs_review,,TPEx EN deListed official,3229,"CHEER TIME ENTERPRISE CO., LTD",0.5714,delist_date=2009-12-31,Please verify historical TWSE/TPEx stock code from MOPS/TWSE/TPEx/company IR; fill stock_code if confirmed.
TAIWAN,KAI CHIEH INTL INV,2,needs_review,,TWSE EN suspendListing official,6131,AC&C INT'L,0.5,delist_date=2021/07/05,Please verify historical TWSE/TPEx stock code from MOPS/TWSE/TPEx/company IR; fill stock_code if confirmed.
TAIWAN,KOBIN ENVIRONMNTL ENTER,1,needs_review,,TPEx EN deListed official,8476,"TAIWAN ENVIRONMENT SCIENTIFIC CO., LTD.",0.5333,delist_date=2023-10-31,Please verify historical TWSE/TPEx stock code from MOPS/TWSE/TPEx/company IR; fill stock_code if confirmed.
TAIWAN,AVY PRECISION TECH,2,needs_review,,TPEx EN deListed official,5318,"VERTEX PRECISION ELECTRONICS, INC.",0.6087,delist_date=2012-11-06,Please verify historical TWSE/TPEx stock code from MOPS/TWSE/TPEx/company IR; fill stock_code if confirmed.
TAIWAN,TAIWAN PULP & PAPER CO,2,needs_review,,TPEx EN deListed official,9946,San Far Property Limited,0.4667,delist_date=2013-09-17,Please verify historical TWSE/TPEx stock code from MOPS/TWSE/TPEx/company IR; fill stock_code if confirmed.
TAIWAN,UNIZYX HOLDING,3,needs_review,,TWSE EN suspendListing official,2499,Unity,0.7273,delist_date=2020/11/10,Please verify historical TWSE/TPEx stock code from MOPS/TWSE/TPEx/company IR; fill stock_code if confirmed.
TAIWAN,ECHEM SOLUTIONS,1,needs_review,,TPEx EN deListed official,6164,LEDTECH ELECTRONICS CORP.,0.5294,delist_date=2008-10-21,Please verify historical TWSE/TPEx stock code from MOPS/TWSE/TPEx/company IR; fill stock_code if confirmed.
TAIWAN,CHINA HI MENT,1,needs_review,,TPEx EN deListed official,1107,"CHIEN TAI CEMENT CO., LTD.",0.7586,delist_date=2012-06-07,Please verify historical TWSE/TPEx stock code from MOPS/TWSE/TPEx/company IR; fill stock_code if confirmed.
