country,company_name,stock_code,matched_name,mapping_status,mapping_score,mapping_source,verification_basis,event_rows
TAIWAN,TAIWAN-ASIA SC CORP,2340,Taiwan-Asia Semiconductor Corporation / 台亞半導體,verified_tw_yahoo_google_round8c,0.95,Round8c web/Yahoo/Google evidence: Company website states Stock Code 2340; StockAnalysis/FT confirm TPE:2340.,broader_web_yahoo_google_after_user_feedback,1
TAIWAN,YUNG SHIN GLOBAL HOLDING,3705,YungShin Global Holding Corporation / 永信,verified_tw_yahoo_google_round8c,0.95,Round8c web/Yahoo/Google evidence: Company PDF says Stock Code 3705; Yahoo Finance 3705.TW.,broader_web_yahoo_google_after_user_feedback,1
TAIWAN,COSMOS BANK TAIWAN,2837,Cosmos Bank Taiwan / 萬泰銀行,verified_tw_historical_round8c,0.95,Round8c web/Yahoo/Google evidence: Investing/Cosmos Bank historical pages show Cosmos Bank (2837); later acquired by CDF/KGI.,broader_web_yahoo_google_after_user_feedback,2
TAIWAN,E-ONE MOLI ENERGY CORP,3127,E-One Moli Energy Corp. / 能元科技,verified_tw_historical_round8c,0.95,Round8c web/Yahoo/Google evidence: Cnyes profile for E-ONE MOLI ENERGY CORP. shows code 3127; unlisted/ESB historical code.,broader_web_yahoo_google_after_user_feedback,2
TAIWAN,POWER QUOTIENT INT'L,6145,"Power Quotient International Co., Ltd. / 勁永國際",verified_tw_historical_round8c,0.95,Round8c web/Yahoo/Google evidence: PatSnap/Discovery profile shows TPE:6145 and stock symbol 6145.,broader_web_yahoo_google_after_user_feedback,3
TAIWAN,TAIWAN LAND CORP,2841,Taiwan Land Development Corporation / 台開,verified_tw_historical_round8c,0.95,Round8c web/Yahoo/Google evidence: CompanyInfoTW record shows stock code 2841 and English name Taiwan Land Development Corporation.,broader_web_yahoo_google_after_user_feedback,2
TAIWAN,DAXON TECHNOLOGY,8215,BenQ Materials Corp. formerly Daxon Technology Inc. / 明基材料,verified_tw_yahoo_google_round8c,0.95,Round8c web/Yahoo/Google evidence: BenQ Materials company history and Yahoo Finance say formerly Daxon Technology Inc.; ticker 8215.TW.,broader_web_yahoo_google_after_user_feedback,1
TAIWAN,CHENMING MOLD INDUSTRY,3013,Chenming Electronic Technology Corp. formerly Chenming Mold Ind. Corp. / 晟銘電,verified_tw_yahoo_google_round8c,0.95,"Round8c web/Yahoo/Google evidence: Investing/Disfold/EODHD show Chenming Mold Industrial Corp. / former name, TWSE:3013.",broader_web_yahoo_google_after_user_feedback,2
TAIWAN,CHIMEI MATERIALS TECH,4960,Cheng Mei Materials Technology Corp. formerly Chi Mei Materials Technology / 誠美材,verified_tw_yahoo_google_round8c,0.95,Round8c web/Yahoo/Google evidence: Company site says stock code 4960; Cnyes says former name 奇美材料科技.,broader_web_yahoo_google_after_user_feedback,2
TAIWAN,TAIWAN PULP & PAPER CO,1902,Taiwan Pulp & Paper Corporation / 台紙,verified_tw_yahoo_google_round8c,0.95,Round8c web/Yahoo/Google evidence: Cnyes/MarketScreener show Taiwan Pulp & Paper Corporation code 1902.,broader_web_yahoo_google_after_user_feedback,2
