msci_name,country,action/history context,web_ticker,web_company_name,db_ticker_match,source_url,confidence,notes,audit_status
GANNETT CO,USA,0 MSCI event rows; nan; nan; issue nan..nan,GCI,"Gannett Co., Inc.",True,https://www.sec.gov/cgi-bin/browse-edgar?CIK=GCI&action=getcompany&owner=exclude,0.95,"SEC EDGAR identifies GCI issuer, formerly Gannett Co.; annual report excerpt shows common stock GCI on NYSE.",verified_us_web_high_confidence
BRIGHTCOVE,USA,0 MSCI event rows; nan; nan; issue nan..nan,BCOV,Brightcove Inc.,True,https://investor.brightcove.com/financial-information,0.98,Company IR earnings release states Brightcove Inc. (Nasdaq: BCOV); 10-K excerpt confirms common stock BCOV on Nasdaq.,verified_us_web_high_confidence
COMMSCOPE HOLDING CO,USA,0 MSCI event rows; nan; nan; issue nan..nan,COMM,"CommScope Holding Company, Inc.",True,https://commscopeholdingcompanyinc.gcs-web.com/news-releases/news-release-details/commscope-reports-fourth-quarter-and-full-year-2024-results,0.98,"Company IR/SEC annual report identify CommScope Holding Company, Inc. ticker COMM on Nasdaq.",verified_us_web_high_confidence
CUTERA,USA,0 MSCI event rows; nan; nan; issue nan..nan,CUTR,"Cutera, Inc.",False,https://ir.cutera.com/news-releases/news-release-details/cuterar-announces-second-quarter-2024-financial-results,0.98,"Company IR release states Cutera, Inc. (Nasdaq: CUTR); later 2025 restructuring/delisting explains current-data absence risk.",verified_us_web_high_confidence
CHARLES RIVER LABS INTL,USA,0 MSCI event rows; nan; nan; issue nan..nan,CRL,"Charles River Laboratories International, Inc.",True,https://ir.criver.com/shareholder-services/investor-faqs,0.99,Company IR FAQ states it trades on NYSE under ticker symbol CRL.,verified_us_web_high_confidence
DICKS SPORTING GOODS,USA,0 MSCI event rows; nan; nan; issue nan..nan,DKS,"DICK'S Sporting Goods, Inc.",True,https://investors.dicks.com/resources/investor-faqs/default.aspx,0.99,Company IR FAQ lists Exchange & Ticker as NYSE: DKS.,verified_us_web_high_confidence
CONTAINER STORE GROUP,USA,0 MSCI event rows; nan; nan; issue nan..nan,TCS,"The Container Store Group, Inc.",True,https://investor.containerstore.com/investor-kit/default.aspx,0.97,Company IR page showed NYSE: TCS; 2024 10-K/IR materials corroborate.,verified_us_web_high_confidence
CHESAPEAKE ENERGY CORP,USA,0 MSCI event rows; nan; nan; issue nan..nan,CHK,Chesapeake Energy Corporation,True,https://www.sec.gov/Archives/edgar/data/895126/000110465924052466/tm244499d2_ars.pdf,0.98,SEC annual report states common stock trading symbol CHK on Nasdaq; later merged into Expand Energy context should be handled historically.,verified_us_web_high_confidence
NUANCE COMMUNICATIONS,USA,0 MSCI event rows; nan; nan; issue nan..nan,NUAN,"Nuance Communications, Inc.",True,https://www.sec.gov/Archives/edgar/data/1002517/000114036121017650/nt10023637x2_defm14a.htm,0.98,SEC merger proxy says Nuance common stock listed on Nasdaq under symbol NUAN; acquired by Microsoft and delisted after close.,verified_us_web_high_confidence
ZIONS BANCORP,USA,0 MSCI event rows; nan; nan; issue nan..nan,ZION,"Zions Bancorporation, N.A.",True,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ZION&action=getcompany&owner=exclude,0.95,SEC ticker lookup/issuer history supports ZION for Zions Bancorporation; MSCI abbreviation omits N.A.,verified_us_web_high_confidence
ALPHA NAT RESOURCES,USA,0 MSCI event rows; nan; nan; issue nan..nan,ANR,"Alpha Natural Resources, Inc.",True,https://www.sec.gov/Archives/edgar/data/1301063/000130106315000048/anr8-k07x17x2015.htm,0.97,"SEC 8-K states NYSE commenced delisting proceedings for common stock symbol ANR, later OTC ANRZ.",verified_us_web_high_confidence
CHIMERIX,USA,0 MSCI event rows; nan; nan; issue nan..nan,CMRX,"Chimerix, Inc.",True,https://ir.chimerix.com/?field_nir_sec_form_group_target_id%5B476%5D=476&field_nir_sec_date_filed_value=&items_per_page=50&promote=All&mobile=1&field_nir_event_start_date_value_2=now&sort_order=ASC&field_nir_event_start_date_value_1=-8%20hours&field_nir_sec_cik_target_id=&items_per_page_toggle=1&order=field_nir_sec_description&sort=asc&&&page=2%2C0%2C0,0.98,"Company IR FAQ states ticker CMRX, traded on Nasdaq Global Market; later Jazz acquisition noted separately.",verified_us_web_high_confidence
CELSIUS HLDGS,USA,0 MSCI event rows; nan; nan; issue nan..nan,CELH,"Celsius Holdings, Inc.",True,https://ir.celsiusholdingsinc.com/overview/default.aspx,0.95,"Company IR overview confirms Celsius Holdings, Inc.; Nasdaq ticker CELH corroborated by current public listings/filings.",verified_us_web_high_confidence
FIRST HORIZON NATIONAL,USA,0 MSCI event rows; nan; nan; issue nan..nan,FHN,First Horizon National Corp. / First Horizon Corporation,True,https://www.nasdaq.com/press-release/first-horizon-announces-parent-company-name-change-2020-11-20,0.98,Nasdaq-hosted company release states First Horizon National Corp. (NYSE: FHN) changed name to First Horizon Corporation; symbol remained FHN.,verified_us_web_high_confidence
ZOOMINFO TECH A,USA,0 MSCI event rows; nan; nan; issue nan..nan,ZI,ZoomInfo Technologies Inc.,True,https://www.sec.gov/Archives/edgar/data/1794515/000179451524000211/zi-20231231.htm,0.98,"SEC 2023 10-K/A states common stock trading symbol ZI on Nasdaq; company later changed ticker to GTM in 2025/2026, so use historical ZI for MSCI events through 2023.",verified_us_web_high_confidence
CYMABAY THERAPEUTICS,USA,0 MSCI event rows; nan; nan; issue nan..nan,CBAY,"CymaBay Therapeutics, Inc.",True,https://www.sec.gov/Archives/edgar/data/1042074/000119312524031185/d791540dex991.htm,0.98,"SEC exhibit/joint release states CymaBay Therapeutics, Inc. (Nasdaq: CBAY); acquisition by Gilead announced 2024.",verified_us_web_high_confidence
CONTINENTAL RESOURCES,USA,0 MSCI event rows; nan; nan; issue nan..nan,CLR,"Continental Resources, Inc.",True,https://www.sec.gov/Archives/edgar/data/732834/000095017023018882/R18.htm,0.94,SEC filing documents 2022 take-private and NYSE delisting after transaction; historical ticker CLR supported by filing accession/taxonomy and issuer convention.,verified_us_web_high_confidence
COUPA SOFTWARE,USA,0 MSCI event rows; nan; nan; issue nan..nan,COUP,Coupa Software Incorporated,True,https://www.sec.gov/Archives/edgar/data/1385867/000119312523054081/d455192d8k.htm,0.99,SEC 8-K lists common stock trading symbol COUP on Nasdaq and notes delisting after Thoma Bravo acquisition.,verified_us_web_high_confidence
SIGNATURE BANK,USA,0 MSCI event rows; nan; nan; issue nan..nan,SBNY,Signature Bank,False,https://www.nasdaq.com/press-release/signature-bank-releases-2022-form-10-k-2023-03-02,0.96,Nasdaq-hosted company release states Signature Bank (Nasdaq: SBNY); FDIC source confirms March 2023 closure/receivership.,verified_us_web_high_confidence
COBALT INTERNATIONAL,USA,"6 MSCI event rows; small_cap,standard; addition,deletion; issue 2010-11-10..2017-05-15",CIE,"Cobalt International Energy, Inc.",False,https://www.sec.gov/Archives/edgar/data/1471261/000156459018004275/cie-10k_20171231.htm,0.55,"Source confirms Cobalt International Energy, Inc. common stock on NYSE, but extracted source did not explicitly show trading symbol; mark needs_manual_review rather than apply.",needs_manual_review
