company_name,previous_stock_code,verified_stock_code,verification_status,market,matched_name,reference_names,reference_sources,source_url,notes,event_rows_updated
SINCERE NAVIGATION,6721,2605,conflict,TWSE,新興航運股份有限公司 / SNC,SNC | 新興 | 新興航運股份有限公司,FinLab company_basic_info:公司名稱 | FinLab company_basic_info:公司簡稱 | FinLab company_basic_info:英文簡稱 | TWSE OpenAPI t187ap03_L:公司名稱 | TWSE OpenAPI t187ap03_L:公司簡稱,https://www.twse.com.tw/rwd/en/company/profile?stockNo=2605,Corrected prior fuzzy candidate.,4
CHINA LIFE INSURANCE CO,,,manual_review,,,,,,Historical ticker 2823; delisted/merged into CTBC Financial context. Needs point-in-time validation.,2
EPISTAR CORP,,,manual_review,,,,,,Historical ticker 2448; not in current FinLab/TWSE reference after LED sector restructuring / Ennostar context. Keep manual_review for point-in-time handling.,3
EVERGREEN INTERNATIONAL,,,manual_review,,,,,,Ambiguous Evergreen group naming; do not map without more evidence.,4
INOTERA MEMORIES,,,manual_review,,,,,,Historical ticker 3474; delisted after Micron acquisition. Not in current FinLab/TWSE reference.,4
PHOENIXTEC POWER CO,,,manual_review,,,,,,Likely historical 2418 Phihong/Phoenixtec naming issue; 2418 absent from current reference. Needs historical source.,1
PRO MOS TECHNOLOGIES,,,manual_review,,,,,,Historical ProMOS ticker 5387; absent from current FinLab/TWSE/TPEx reference. Needs historical source.,3
RICHTEK TECHNOLOGY CORP,,,manual_review,,,,,,Historical ticker 6286; delisted after MediaTek acquisition. Needs historical source.,2
WATERLAND FINANCIAL,,,manual_review,,,,,,Ambiguous historical financial group name; do not map without more evidence.,1
WINTEK,,,manual_review,,,,,,Historical ticker 2384; absent from current FinLab/TWSE reference. Needs historical/delisting validation.,7
CAPITAL SECURITIES CORP,,6005,verified,TWSE,群益金鼎證券股份有限公司 / CSC,CSC | 群益證 | 群益金鼎證券股份有限公司,FinLab company_basic_info:公司名稱 | FinLab company_basic_info:公司簡稱 | FinLab company_basic_info:英文簡稱 | TWSE OpenAPI t187ap03_L:公司名稱 | TWSE OpenAPI t187ap03_L:公司簡稱,https://www.twse.com.tw/rwd/en/company/profile?stockNo=6005,FinLab ticker agrees with TWSE/TPEx official reference.,4
CHENG SHIN RUBBER IND,,2105,verified,TWSE,正新橡膠工業股份有限公司 / CST,CST | 正新 | 正新橡膠工業股份有限公司,FinLab company_basic_info:公司名稱 | FinLab company_basic_info:公司簡稱 | FinLab company_basic_info:英文簡稱 | TWSE OpenAPI t187ap03_L:公司名稱 | TWSE OpenAPI t187ap03_L:公司簡稱,https://www.twse.com.tw/rwd/en/company/profile?stockNo=2105,FinLab ticker agrees with TWSE/TPEx official reference.,2
CHENG UEI PRECISION IND,,2392,verified,TWSE,正崴精密工業股份有限公司 / FOXLINK,FOXLINK | 正崴 | 正崴精密工業股份有限公司,FinLab company_basic_info:公司名稱 | FinLab company_basic_info:公司簡稱 | FinLab company_basic_info:英文簡稱 | TWSE OpenAPI t187ap03_L:公司名稱 | TWSE OpenAPI t187ap03_L:公司簡稱,https://www.twse.com.tw/rwd/en/company/profile?stockNo=2392,FinLab ticker agrees with TWSE/TPEx official reference.,3
CHINA AIRLINES,,2610,verified,TWSE,中華航空股份有限公司 / CAL,CAL | 中華航空股份有限公司 | 華航,FinLab company_basic_info:公司名稱 | FinLab company_basic_info:公司簡稱 | FinLab company_basic_info:英文簡稱 | TWSE OpenAPI t187ap03_L:公司名稱 | TWSE OpenAPI t187ap03_L:公司簡稱,https://www.twse.com.tw/rwd/en/company/profile?stockNo=2610,FinLab ticker agrees with TWSE/TPEx official reference.,6
E INK HOLDINGS,,8069,verified,TPEx,元太科技工業股份有限公司 / EIH,EIH | 元太 | 元太科技工業股份有限公司,FinLab company_basic_info:公司名稱 | FinLab company_basic_info:公司簡稱 | FinLab company_basic_info:英文簡稱 | TPEx OpenAPI mopsfin_t187ap03_O:CompanyName,https://www.tpex.org.tw/www/en-us/company/otcDetail?code=8069,FinLab ticker agrees with TWSE/TPEx official reference.,4
