country,company_name,decision,verified_ticker,verified_name,status,risk_type,evidence_summary,source_1,source_2,source_3,unverifiable_reason
TAIWAN,SINCERE NAVIGATION,map,2605,Sincere Navigation Corporation / 新興航運,verified_conflict_round4,prior fuzzy conflict,Company investor FAQ lists TAIEX/TWSE 2605; market quote pages corroborate 2605.TW/TW0002605003. Prior 6721-style fuzzy conflict should stay corrected to 2605.,https://www.snc.com.tw/en/investors/,https://ca.marketscreener.com/quote/stock/SINCERE-NAVIGATION-CORPOR-6495337/,https://ca.finance.yahoo.com/quote/2605.TW/,
TAIWAN,EVERGREEN INTERNATIONAL,map,2607,Evergreen International Storage & Transport Corp,verified_historical_round4,abbreviated MSCI name,MSCI abbreviation likely drops Storage & Transport; FT/Yahoo/StockAnalysis all identify Evergreen International Storage & Transport as 2607 on Taiwan/TWSE.,https://markets.ft.com/data/equities/tearsheet/profile?s=2607%3ATAI,https://stockanalysis.com/quote/tpe/2607/,https://ca.finance.yahoo.com/quote/2607.TW/,
TAIWAN,WATERLAND FINANCIAL,map,2889,"IBF Financial Holdings Co., Ltd., formerly Waterland Financial Holdings",verified_historical_round4,renamed company,FT and MarketScreener state IBF Financial Holdings (2889) was formerly Waterland Financial Holdings; Investing.com URL retains waterland-fin slug for 2889.,https://markets.ft.com/data/equities/tearsheet/profile?s=2889%3ATAI,https://uk.marketscreener.com/quote/stock/IBF-FINANCIAL-HOLDINGS-CO-6495205/,https://www.investing.com/equities/waterland-fin,
TAIWAN,CHINA LIFE INSURANCE CO,map,2823,China Life Insurance (Taiwan) / KGI Life predecessor,verified_historical_round4,delisted after share swap; same-name China/HK risk,KGI Life/China Life company profile says listed on TWSE in 1995 and became CDF wholly owned subsidiary in 2021; Cbonds identifies Taiwan China Life ordinary share TW0002823002 ticker 2823; local press says 2823 delisted 2021-12-30.,https://service.kgilife.com.tw/wps/portal/kgilife/investor-relations-en/about-chinalife/Company-profile,https://cbonds.com/stocks/TW0002823002/,https://www.ctwant.com/article/159535/,
TAIWAN,EPISTAR CORP,map,2448,Epistar Corporation,verified_historical_round4,share conversion / delisted into Ennostar,Ennostar company release identifies Epistar (TAIEX:2448); LEDinside notes former stock code 2448 and Ennostar listed as 3714 after share swap.,https://www.ennostar.com/en/news/news/2,https://www.ledinside.com/node/31791,https://semiconductor-today.com/news_items/2021/jan/ennostar-080121.shtml,
TAIWAN,INOTERA MEMORIES,map,3474,"Inotera Memories, Inc.",verified_historical_round4,acquired/delisted,Prior source noted Inotera (TWSE:3474); Digitimes and CTIMES/Micron sources corroborate delisting/acquisition by Micron.,https://www.digitimes.com/news/a20161011VL201.html,https://en.ctimes.com.tw/DispNews.asp%3FO%3DHJZCE96HQKMSAA00NO,https://www.globenewswire.com/news-release/2016/12/06/895290/14450/en/Micron-Technology-Completes-Acquisition-of-Inotera-Memories-of-Taiwan.html,
TAIWAN,PRO MOS TECHNOLOGIES,map,5387,ProMOS Technologies Inc.,verified_historical_round4,OTC delisted,"Focus Taiwan states ProMOS shares delisted from OTC March 26, 2012; MarketScreener inactive instrument lists ProMOS Technologies Inc. 5387 TW0005387005 on Taipei Exchange.",https://focustaiwan.tw/business/201202170035,https://www.marketscreener.com/quote/stock/PROMOS-TECHNOLOGIES-INC-6491683/,https://www.digitimes.com/news/a20110906PD206.html,
TAIWAN,WINTEK,map,2384,Wintek Corporation / 勝華科技,verified_historical_round4,bankruptcy/delisted,TWSE fact book lists code 2384 WINTEK CORPORTION delisted 07/07; MarketScreener inactive instrument lists Wintek Corporation 2384 TW0002384005; other local company data retains 2384 勝華科技.,https://www.twse.com.tw/downloads/zh/about/company/factbook/2016/1.07.html,https://in.marketscreener.com/quote/stock/WINTEK-CORPORATION-6491707/,https://info.technews.tw/company/22100398-%E5%8B%9D%E8%8F%AF%E7%A7%91%E6%8A%80%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,
TAIWAN,RICHTEK TECHNOLOGY CORP,map,6286,Richtek Technology Corporation,verified_historical_round4,acquired/delisted,MediaTek official release identifies Richtek Technology Corporation (TSE:6286) and acquisition plan; Digitimes says Richtek delisted from TSE on 2016-04-29; Richtek report says it became wholly owned by MediaTek.,https://www.mediatek.com/press-room/mediatek-announces-tender-offer-for-richtek,https://www.digitimes.com/news/a20160120PD204.html,https://richtek.com/~/media/35BCA3DDCEE4474B9C600C624DBC64F4.ashx,
TAIWAN,PHOENIXTEC POWER CO,manual_review,,Phoenixtec Power / Eaton Phoenixtec MMPL,manual_review_round4,weak historical symbol evidence,Multiple sources support Eaton acquisition and Phoenixtec identity; only one weak data aggregator surfaced stock symbol 2411/ROCO and no reliable TWSE/TPEx historical symbol page was found. Do not map to 2411 yet.,https://discovery.patsnap.com/company/eaton-phoenixtec-mmpl/,https://dunscertified.dnb.com.tw/en/DUNSCertifiedProfile/DCP656002912,https://haori.tw/yellopages/73735839-%E4%BC%8A%E9%A0%93%E9%A3%9B%E7%91%9E%E6%85%95%E5%93%81%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,No reliable official/exchange or historical security-master source confirming Phoenixtec Power listed ticker; aggregator-only stock symbol not sufficient.
USA,COBALT INTERNATIONAL,map,CIE,"Cobalt International Energy, Inc.",verified_historical_round4,historical US ticker / delisted; avoid current same-symbol reuse,"SEC filings/press releases explicitly identify Cobalt International Energy, Inc. (NYSE:CIE); NYSE/SEC removal filing confirms Cobalt common stock delisting/removal in Jan 2018.",https://www.sec.gov/Archives/edgar/data/1471261/000119312517062754/d259399dex991.htm,https://www.sec.gov/Archives/edgar/data/876661/000087666118000002/ruleprovisionnotice.htm,https://www.cobaltintl.com/newsroom/cobalt-international-energy-inc.-announces-effectiveness-of-1-for-15-revers,
USA,CUTERA,map,CUTR,"Cutera, Inc.",verified_historical_round4,2025 bankruptcy/delisting,"Company release and SEC 8-K/Form 25 confirm Nasdaq ticker CUTR and 2025 delisting/suspension context; historical MSCI rows should remain CUTR, not post-bankruptcy OTC substitute.",https://ir.cutera.com/news-releases/news-release-details/cutera-announces-voluntarily-delisting-nasdaq,https://www.sec.gov/Archives/edgar/data/1162461/000162828025011029/cutr-20250306.htm,https://www.sec.gov/Archives/edgar/data/1162461/000162828025014047/cutr-form25.htm,
USA,SIGNATURE BANK,map,SBNY,Signature Bank,verified_historical_round4,failed bank / delisted; OTC continuation risk,Nasdaq-hosted company release and FDIC closure/receiver sources confirm historical Signature Bank context; use SBNY for pre-failure MSCI history and avoid treating bridge/Flagstar successor as same equity.,https://www.nasdaq.com/press-release/signature-bank-releases-2022-form-10-k-2023-03-02,https://www.fdic.gov/news/press-releases/2023/pr23018.html,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/signature-ny.html,
USA,ZOOMINFO TECH A,map,ZI,ZoomInfo Technologies Inc. Class A,verified_historical_round4,ticker changed to GTM after MSCI window,SEC 2024 10-K supported ZI; SEC 2025 8-K/BusinessWire state Nasdaq symbol changed from ZI to GTM effective 2025-05-13. Historical MSCI events through 2023 should remain ZI.,https://www.sec.gov/Archives/edgar/data/1794515/000179451524000211/zi-20231231.htm,https://www.sec.gov/Archives/edgar/data/1794515/000179451525000097/zi-8kex991x20250512.htm,https://www.businesswire.com/news/home/20250512480158/en/ZoomInfo-Announces-First-Quarter-2025-Financial-Results,
