country,company_name,stock_code,mapping_status,matched_name,evidence_type,source_1,source_2,source_3,confidence_or_score,notes
USA,DYNEGY A,,needs_review,,current_mapping_row,,,,0.0,
USA,FIRST SOLAR,FSLR,mapped_exact_normalized,"FIRST SOLAR, INC.",current_mapping_row,SEC company_tickers_exchange,,,1.0,
USA,FOSTER WHEELER CORP,,needs_review,,current_mapping_row,,,,0.0,
USA,MCDERMOTT INTERNATIONAL,,needs_review,,current_mapping_row,,,,0.0,
USA,CIRCUIT CITY,,needs_review,,current_mapping_row,,,,0.0,
USA,CONVERGYS CORP,,needs_review,,current_mapping_row,,,,0.0,
USA,CORP EXECUTIVE BOARD CO,,needs_review,,current_mapping_row,,,,0.0,
USA,TENET HEALTHCARE CORP,THC,mapped_exact_normalized,TENET HEALTHCARE CORP,current_mapping_row,SEC company_tickers_exchange,,,1.0,
USA,TIME WARNER CABLE-A,,needs_review,,current_mapping_row,,,,0.0,
USA,ALPHA NAT RESOURCES,ANR,verified_us_web_high_confidence,"Alpha Natural Resources, Inc.",current_mapping_row,web_verified_round2:https://www.sec.gov/Archives/edgar/data/1301063/000130106315000048/anr8-k07x17x2015.htm,,,0.97,
USA,PETROHAWK ENERGY CORP,,needs_review,,current_mapping_row,,,,0.0,
USA,AUTONATION,AN,mapped_exact_normalized,"AUTONATION, INC.",current_mapping_row,SEC company_tickers_exchange,,,1.0,
USA,OSHKOSH CORP,OSK,mapped_exact_normalized,OSHKOSH CORP,current_mapping_row,SEC company_tickers_exchange,,,1.0,
USA,LUBRIZOL CORP,,needs_review,,current_mapping_row,,,,0.0,
USA,XL CAPITAL,,needs_review,,current_mapping_row,,,,0.0,
USA,ASSOCIATED BANC-CORP,ASB,mapped_exact_normalized,ASSOCIATED BANC-CORP,current_mapping_row,SEC company_tickers_exchange,,,1.0,
USA,CAMDEN PROPERTY TRUST,CPT,mapped_exact_normalized,CAMDEN PROPERTY TRUST,current_mapping_row,SEC company_tickers_exchange,,,1.0,
USA,REALTY INCOME CORP,O,mapped_exact_normalized,REALTY INCOME CORP,current_mapping_row,SEC company_tickers_exchange,,,1.0,
USA,NII HOLDINGS B,,needs_review,,current_mapping_row,,,,0.0,
USA,MICHAEL KORS HOLDINGS,,needs_review,,current_mapping_row,,,,0.0,
USA,TESLA MOTORS,,needs_review,,current_mapping_row,,,,0.0,
USA,ULTRA PETROLEUM CORP,,needs_review,,current_mapping_row,,,,0.0,
TAIWAN,ECLAT TEXTILE COMPANY,1476,verified_tw_reference_fuzzy,ECLAT,current_mapping_row,FinLab company_basic_info:英文簡稱,,,0.9285,
TAIWAN,TUNG HO STEEL ENTERPRISE,2006,verified_tw_reference_fuzzy,Tung Ho Steel,current_mapping_row,FinLab company_basic_info:英文簡稱,,,0.9442,
USA,TABLEAU SOFTWARE A,,needs_review,,current_mapping_row,,,,0.0,
USA,DIAMOND OFFSHORE DRILL,,needs_review,,current_mapping_row,,,,0.0,
USA,LIBERTY BROADBAND C,LBRDA,mapped_exact_normalized,Liberty Broadband Corp,current_mapping_row,SEC company_tickers_exchange,,,1.0,
USA,IONIS PHARMACEUTICALS,IONS,mapped_exact_normalized,IONIS PHARMACEUTICALS INC,current_mapping_row,SEC company_tickers_exchange,,,1.0,
TAIWAN,GENERAL INTERFACE SOLN,6456,verified_tw_official_round3,GIS Holding Limited / GIS-KY,current_mapping_row,Round3 official audit: FinLab company_basic_info + TWSE official reference,,,0.99,
TAIWAN,OBI PHARMA,4174,verified_tw_official_round3,台灣浩鼎生技股份有限公司 / OBI,current_mapping_row,Round3 official audit: FinLab company_basic_info + TPEx official reference,,,0.99,
USA,ROKU A,ROKU,mapped_exact_normalized,"ROKU, INC",current_mapping_row,SEC company_tickers_exchange,,,1.0,
USA,SAREPTA THERAPEUTICS,SRPT,mapped_exact_normalized,"Sarepta Therapeutics, Inc.",current_mapping_row,SEC company_tickers_exchange,,,1.0,
USA,CHEMOURS CO,CC,mapped_exact_normalized,Chemours Co,current_mapping_row,SEC company_tickers_exchange,,,1.0,
USA,COMMSCOPE HOLDING CO,COMM,verified_us_web_high_confidence,"CommScope Holding Company, Inc.",current_mapping_row,web_verified_round2:https://commscopeholdingcompanyinc.gcs-web.com/news-releases/news-release-details/commscope-reports-fourth-quarter-and-full-year-2024-results,,,0.98,
USA,P G & E CORP,,needs_review,,current_mapping_row,,,,0.0,
USA,PELOTON INTERACTIVE A,PTON,mapped_exact_normalized,"PELOTON INTERACTIVE, INC.",current_mapping_row,SEC company_tickers_exchange,,,1.0,
USA,ZSCALER,ZS,mapped_exact_normalized,"Zscaler, Inc.",current_mapping_row,SEC company_tickers_exchange,,,1.0,
USA,HOLLYFRONTIER,,needs_review,,current_mapping_row,,,,0.0,
TAIWAN,ASMEDIA TECHNOLOGY,5269,verified_tw_reference_fuzzy,Asmedia,current_mapping_row,FinLab company_basic_info:英文簡稱,,,0.9289,
TAIWAN,CHINA AIRLINES,2610,verified_tw_official_round3,中華航空股份有限公司 / CAL,current_mapping_row,Round3 official audit: FinLab company_basic_info + TWSE official reference,,,0.99,
TAIWAN,TATUNG,2371,mapped_exact_normalized,TATUNG COMPANY,current_mapping_row,FinLab company_basic_info:英文簡稱,,,1.0,
USA,AMC ENTERTAINMENT HLDG A,,needs_review,,current_mapping_row,,,,0.0,
USA,DOORDASH A,DASH,mapped_exact_normalized,"DoorDash, Inc.",current_mapping_row,SEC company_tickers_exchange,,,1.0,
USA,REINSURANCE GRP AMERICA,,needs_review,,current_mapping_row,,,,0.0,
TAIWAN,MOMO.COM,8454,mapped_exact_normalized,momo,current_mapping_row,FinLab company_basic_info:英文簡稱,,,1.0,
TAIWAN,TAIWAN BUSINESS BANK,2834,verified_tw_official_round3,臺灣中小企業銀行股份有限公司 / TBB,current_mapping_row,Round3 official audit: FinLab company_basic_info + TWSE official reference,,,0.99,
USA,CARLISLE COS,,needs_review,,current_mapping_row,,,,0.0,
USA,GAMING & LEISURE PPTYS,,needs_review,,current_mapping_row,,,,0.0,
USA,TEXAS PACIFIC LAND,TPL,mapped_exact_normalized,Texas Pacific Land Corp,current_mapping_row,SEC company_tickers_exchange,,,1.0,
USA,CARVANA A,CVNA,mapped_exact_normalized,CARVANA CO.,current_mapping_row,SEC company_tickers_exchange,,,1.0,
USA,UPSTART HOLDINGS,UPST,mapped_exact_normalized,"Upstart Holdings, Inc.",current_mapping_row,SEC company_tickers_exchange,,,1.0,
USA,CONFLUENT A,,needs_review,,current_mapping_row,,,,0.0,
USA,DRAFTKINGS A,DKNG,mapped_exact_normalized,DraftKings Inc.,current_mapping_row,SEC company_tickers_exchange,,,1.0,
USA,JABIL CIRCUIT,,needs_review,,current_mapping_row,,,,0.0,
USA,MANHATTAN ASSOCIATES,MANH,mapped_exact_normalized,MANHATTAN ASSOCIATES INC,current_mapping_row,SEC company_tickers_exchange,,,1.0,
USA,ROBINHOOD MARKETS A,HOOD,mapped_exact_normalized,"Robinhood Markets, Inc.",current_mapping_row,SEC company_tickers_exchange,,,1.0,
USA,SUPER MICRO COMPUTER,SMCI,mapped_exact_normalized,"Super Micro Computer, Inc.",current_mapping_row,SEC company_tickers_exchange,,,1.0,
USA,ADVANCE AUTO PARTS,AAP,mapped_exact_normalized,ADVANCE AUTO PARTS INC,current_mapping_row,SEC company_tickers_exchange,,,1.0,
USA,ALCOA (NEW),AA,mapped_exact_normalized,Alcoa Corp,current_mapping_row,SEC company_tickers_exchange,,,1.0,
USA,LIBERTY GLOBAL A,LBTYA,mapped_exact_normalized,Liberty Global Ltd.,current_mapping_row,SEC company_tickers_exchange,,,1.0,
USA,MASIMO,MASI,mapped_exact_normalized,MASIMO CORP,current_mapping_row,SEC company_tickers_exchange,,,1.0,
USA,NOVOCURE,NVCR,mapped_exact_normalized,NovoCure Ltd,current_mapping_row,SEC company_tickers_exchange,,,1.0,
USA,UGI CORP,UGI,mapped_exact_normalized,UGI Corporation Common Stock,current_mapping_row,NasdaqTrader otherlisted,,,1.0,
TAIWAN,GIGABYTE TECHNOLOGY CO,2376,verified_tw_reference_fuzzy,GIGABYTE,current_mapping_row,FinLab company_basic_info:英文簡稱,,,0.9321,
TAIWAN,WIN SEMICONDUCTORS,3105,verified_tw_official_round3,穩懋半導體股份有限公司 / WIN,current_mapping_row,Round3 official audit: FinLab company_basic_info + TPEx official reference,,,0.99,
USA,FLUTTER ENTMT(US),,needs_review,,current_mapping_row,,,,0.0,
USA,CAESARS ENT INC,,needs_review,,current_mapping_row,,,,0.0,
USA,CLEVELAND CLIFFS,CLF,mapped_exact_normalized,CLEVELAND-CLIFFS INC.,current_mapping_row,SEC company_tickers_exchange,,,1.0,
USA,ETSY,ETSY,mapped_exact_normalized,ETSY INC,current_mapping_row,SEC company_tickers_exchange,,,1.0,
USA,LATTICE SEMICONDUCTOR,LSCC,mapped_exact_normalized,LATTICE SEMICONDUCTOR CORP,current_mapping_row,SEC company_tickers_exchange,,,1.0,
USA,PAYLOCITY HOLDING CORP,PCTY,mapped_exact_normalized,Paylocity Holding Corp,current_mapping_row,SEC company_tickers_exchange,,,1.0,
USA,REPLIGEN CORP,RGEN,mapped_exact_normalized,REPLIGEN CORP,current_mapping_row,SEC company_tickers_exchange,,,1.0,
USA,UIPATH A,PATH,mapped_exact_normalized,"UiPath, Inc.",current_mapping_row,SEC company_tickers_exchange,,,1.0,
USA,UNITY SOFTWARE,U,mapped_exact_normalized,Unity Software Inc.,current_mapping_row,SEC company_tickers_exchange,,,1.0,
USA,AFFIRM HOLDINGS A,AFRM,mapped_exact_normalized,"Affirm Holdings, Inc.",current_mapping_row,SEC company_tickers_exchange,,,1.0,
USA,ROCKET LAB CORP,RKLB,mapped_exact_normalized,Rocket Lab Corp,current_mapping_row,SEC company_tickers_exchange,,,1.0,
USA,SOFI TECHNOLOGIES,SOFI,mapped_exact_normalized,"SoFi Technologies, Inc.",current_mapping_row,SEC company_tickers_exchange,,,1.0,
USA,TAPESTRY,TPR,mapped_exact_normalized,"TAPESTRY, INC.",current_mapping_row,SEC company_tickers_exchange,,,1.0,
USA,AVANTOR,AVTR,mapped_exact_normalized,"Avantor, Inc.",current_mapping_row,SEC company_tickers_exchange,,,1.0,
USA,CONAGRA BRANDS,CAG,mapped_exact_normalized,CONAGRA BRANDS INC.,current_mapping_row,SEC company_tickers_exchange,,,1.0,
USA,LKQ CORP,LKQ,mapped_exact_normalized,LKQ CORP,current_mapping_row,SEC company_tickers_exchange,,,1.0,
USA,THE CAMPBELL'S,CPB,mapped_exact_normalized,CAMPBELL'S Co,current_mapping_row,SEC company_tickers_exchange,,,1.0,
TAIWAN,CALIWAY BIOPHARMA,6919,verified_tw_reference_fuzzy,Caliway,current_mapping_row,FinLab company_basic_info:英文簡稱,,,0.9312,
TAIWAN,KING SLIDE WORKS CO,2059,verified_tw_reference_fuzzy,king slide,current_mapping_row,FinLab company_basic_info:英文簡稱,,,0.9525,
TAIWAN,POU CHEN CORP,9904,verified_tw_official_round3,寶成工業股份有限公司 / PCC,current_mapping_row,Round3 official audit: FinLab company_basic_info + TWSE official reference,,,0.99,
TAIWAN,RUENTEX DEVELOPMENT CO,9945,verified_tw_reference_fuzzy,RUENTEX DEVELOP,current_mapping_row,FinLab company_basic_info:英文簡稱,,,0.9689,
USA,ANNALY CAPITAL MGMT,,needs_review,,current_mapping_row,,,,0.0,
USA,HENRY SCHEIN,HSIC,mapped_exact_normalized,HENRY SCHEIN INC,current_mapping_row,SEC company_tickers_exchange,,,1.0,
USA,NASDAQ STOCK MARKET,,needs_review,,current_mapping_row,,,,0.0,
USA,AMBAC FINANCIAL GROUP,,needs_review,,current_mapping_row,,,,0.0,
USA,E*TRADE GROUP,,needs_review,,current_mapping_row,,,,0.0,
USA,MBIA,MBI,mapped_exact_normalized,MBIA INC,current_mapping_row,SEC company_tickers_exchange,,,1.0,
USA,PHARMACEUTICAL PRDCT DEV,,needs_review,,current_mapping_row,,,,0.0,
USA,DELTA AIR LINES,DAL,mapped_exact_normalized,"DELTA AIR LINES, INC.",current_mapping_row,SEC company_tickers_exchange,,,1.0,
USA,DEVRY,,needs_review,,current_mapping_row,,,,0.0,
USA,ITT EDUCATIONAL SERVICES,,needs_review,,current_mapping_row,,,,0.0,
USA,MYLAN,,needs_review,,current_mapping_row,,,,0.0,
USA,NORTHEAST UTILITIES,,needs_review,,current_mapping_row,,,,0.0,
USA,NSTAR,,needs_review,,current_mapping_row,,,,0.0,
USA,OMNICARE,,needs_review,,current_mapping_row,,,,0.0,
USA,O'REILLY AUTOMOTIVE,ORLY,mapped_exact_normalized,O REILLY AUTOMOTIVE INC,current_mapping_row,SEC company_tickers_exchange,,,1.0,
USA,PUGET ENERGY,,needs_review,,current_mapping_row,,,,0.0,
USA,AMERICAN CAPITAL,,needs_review,,current_mapping_row,,,,0.0,
USA,APARTMENT INVEST & MGMT,,needs_review,,current_mapping_row,,,,0.0,
USA,DEVELOPERS DIVERS REALTY,,needs_review,,current_mapping_row,,,,0.0,
USA,FOREST CITY ENT. A,,needs_review,,current_mapping_row,,,,0.0,
USA,GENWORTH FINANCIAL A,GNW,mapped_exact_normalized,GENWORTH FINANCIAL INC,current_mapping_row,SEC company_tickers_exchange,,,1.0,
USA,HUNTSMAN CORP,HUN,mapped_exact_normalized,Huntsman CORP,current_mapping_row,SEC company_tickers_exchange,,,1.0,
USA,JANUS CAPITAL GROUP,,needs_review,,current_mapping_row,,,,0.0,
USA,LAMAR ADVERTISING CO A,LAMR,mapped_exact_normalized,LAMAR ADVERTISING CO/NEW,current_mapping_row,SEC company_tickers_exchange,,,1.0,
USA,SL GREEN REALTY CORP,SLG,mapped_exact_normalized,SL GREEN REALTY CORP,current_mapping_row,SEC company_tickers_exchange,,,1.0,
USA,COBALT INTERNATIONAL,CIE,verified_historical_round4,"Cobalt International Energy, Inc.",current_mapping_row,Round4 conflict review: https://www.sec.gov/Archives/edgar/data/1471261/000119312517062754/d259399dex991.htm | https://www.sec.gov/Archives/edgar/data/876661/000087666118000002/ruleprovisionnotice.htm,,,0.98,
USA,DONNELLEY (RR) & SONS,,needs_review,,current_mapping_row,,,,0.0,
USA,ALKERMES,ALKS,mapped_exact_normalized,Alkermes plc.,current_mapping_row,SEC company_tickers_exchange,,,1.0,
USA,ISIS PHARMACEUTICALS,,needs_review,,current_mapping_row,,,,0.0,
USA,DENBURY RESOURCES,,needs_review,,current_mapping_row,,,,0.0,
USA,HERBALIFE,HLF,mapped_exact_normalized,HERBALIFE LTD.,current_mapping_row,SEC company_tickers_exchange,,,1.0,
TAIWAN,WAN HAI LINES,2615,verified_tw_official_round3,萬海航運股份有限公司 / WANHAI,current_mapping_row,Round3 official audit: FinLab company_basic_info + TWSE official reference,,,0.99,
TAIWAN,TSRC CORP,2103,mapped_exact_normalized,TSRC,current_mapping_row,FinLab company_basic_info:英文簡稱,,,1.0,
USA,ATMOS ENERGY CORP,ATO,mapped_exact_normalized,ATMOS ENERGY CORP,current_mapping_row,SEC company_tickers_exchange,,,1.0,
USA,MID-AMERICA APARTMENT,,needs_review,,current_mapping_row,,,,0.0,
USA,MSCI,MSCI,mapped_exact_normalized,MSCI Inc.,current_mapping_row,SEC company_tickers_exchange,,,1.0,
USA,TECO ENERGY,,needs_review,,current_mapping_row,,,,0.0,
USA,WASTE CONNECTIONS,WCN,mapped_exact_normalized,"Waste Connections, Inc.",current_mapping_row,SEC company_tickers_exchange,,,1.0,
USA,WR GRACE & CO,,needs_review,,current_mapping_row,,,,0.0,
USA,CHESAPEAKE ENERGY CORP,CHK,verified_us_web_high_confidence,Chesapeake Energy Corporation,current_mapping_row,web_verified_round2:https://www.sec.gov/Archives/edgar/data/895126/000110465924052466/tm244499d2_ars.pdf,,,0.98,
USA,ENERGEN CORP,,needs_review,,current_mapping_row,,,,0.0,
USA,ENSCO A,,needs_review,,current_mapping_row,,,,0.0,
USA,FIREEYE,,needs_review,,current_mapping_row,,,,0.0,
USA,WHITING PETROLEUM,,needs_review,,current_mapping_row,,,,0.0,
USA,ADVANCED MICRO DEVICES,AMD,mapped_exact_normalized,ADVANCED MICRO DEVICES INC,current_mapping_row,SEC company_tickers_exchange,,,1.0,
USA,ENDO INTERNATIONAL,,needs_review,,current_mapping_row,,,,0.0,
USA,ALTICE USA A,,needs_review,,current_mapping_row,,,,0.0,
USA,KKR & CO,KKR,mapped_exact_normalized,KKR & Co. Inc.,current_mapping_row,SEC company_tickers_exchange,,,1.0,
USA,ANTERO RESOURCES,AR,mapped_exact_normalized,ANTERO RESOURCES Corp,current_mapping_row,SEC company_tickers_exchange,,,1.0,
USA,AIRBNB A,ABNB,mapped_exact_normalized,"Airbnb, Inc.",current_mapping_row,SEC company_tickers_exchange,,,1.0,
USA,PLUG POWER,PLUG,mapped_exact_normalized,PLUG POWER INC,current_mapping_row,SEC company_tickers_exchange,,,1.0,
USA,PERRIGO,PRGO,mapped_exact_normalized,PERRIGO Co plc,current_mapping_row,SEC company_tickers_exchange,,,1.0,
TAIWAN,NAN YA PRINTED CIRCUIT,8046,verified_tw_official_round3,南亞電路板股份有限公司 / N.P.C,current_mapping_row,Round3 official audit: FinLab company_basic_info + TWSE official reference,,,0.99,
TAIWAN,STANDARD FOODS CORP,1227,verified_tw_official_round3,佳格食品股份有限公司 / SFC,current_mapping_row,Round3 official audit: FinLab company_basic_info + TWSE official reference,,,0.99,
USA,KIMCO REALTY CORP,KIM,mapped_exact_normalized,KIMCO REALTY CORP,current_mapping_row,SEC company_tickers_exchange,,,1.0,
USA,OAK STREET HEALTH,,needs_review,,current_mapping_row,,,,0.0,
TAIWAN,E INK HOLDINGS,8069,verified_tw_official_round3,元太科技工業股份有限公司 / EIH,current_mapping_row,Round3 official audit: FinLab company_basic_info + TPEx official reference,,,0.99,
TAIWAN,WISTRON CORP,3231,mapped_exact_normalized,Wistron,current_mapping_row,FinLab company_basic_info:英文簡稱,,,1.0,
USA,AECOM,ACM,mapped_exact_normalized,AECOM,current_mapping_row,SEC company_tickers_exchange,,,1.0,
USA,ATLASSIAN (US),TEAM,mapped_exact_normalized,Atlassian Corp,current_mapping_row,SEC company_tickers_exchange,,,1.0,
USA,AXON ENTERPRISE,AXON,mapped_exact_normalized,"AXON ENTERPRISE, INC.",current_mapping_row,SEC company_tickers_exchange,,,1.0,
USA,GRACO,GGG,mapped_exact_normalized,GRACO INC,current_mapping_row,SEC company_tickers_exchange,,,1.0,
USA,RELIANCE STEEL & ALUM,,needs_review,,current_mapping_row,,,,0.0,
USA,TORO CO,TTC,mapped_exact_normalized,TORO CO,current_mapping_row,SEC company_tickers_exchange,,,1.0,
USA,UNITED THERAPEUTICS CORP,UTHR,mapped_exact_normalized,UNITED THERAPEUTICS Corp,current_mapping_row,SEC company_tickers_exchange,,,1.0,
USA,LINCOLN NATIONAL CORP,LNC,mapped_exact_normalized,LINCOLN NATIONAL CORP,current_mapping_row,SEC company_tickers_exchange,,,1.0,
USA,LUMEN TECHNOLOGIES,LUMN,mapped_exact_normalized,"Lumen Technologies, Inc.",current_mapping_row,SEC company_tickers_exchange,,,1.0,
USA,WESTERN UNION,WU,mapped_exact_normalized,Western Union CO,current_mapping_row,SEC company_tickers_exchange,,,1.0,
USA,APPLOVIN CORP A,APP,mapped_exact_normalized,AppLovin Corp,current_mapping_row,SEC company_tickers_exchange,,,1.0,
USA,COREBRIDGE FINANCIAL,CRBG,mapped_exact_normalized,"Corebridge Financial, Inc.",current_mapping_row,SEC company_tickers_exchange,,,1.0,
USA,SAMSARA A,IOT,mapped_exact_normalized,Samsara Inc.,current_mapping_row,SEC company_tickers_exchange,,,1.0,
USA,WILLIAMS-SONOMA,WSM,mapped_exact_normalized,WILLIAMS SONOMA INC,current_mapping_row,SEC company_tickers_exchange,,,1.0,
USA,LUCID GROUP A,LCID,mapped_exact_normalized,"Lucid Group, Inc.",current_mapping_row,SEC company_tickers_exchange,,,1.0,
USA,VF CORP,,needs_review,,current_mapping_row,,,,0.0,
USA,INTERACTIVE BKRS GRP A,,needs_review,,current_mapping_row,,,,0.0,
USA,NATERA,NTRA,mapped_exact_normalized,"Natera, Inc.",current_mapping_row,SEC company_tickers_exchange,,,1.0,
USA,REDDIT A,RDDT,mapped_exact_normalized,"Reddit, Inc.",current_mapping_row,SEC company_tickers_exchange,,,1.0,
USA,UNITED AIRLINES HOLDINGS,UAL,mapped_exact_normalized,"United Airlines Holdings, Inc.",current_mapping_row,SEC company_tickers_exchange,,,1.0,
USA,AES CORP,AES,mapped_exact_normalized,AES CORP,current_mapping_row,SEC company_tickers_exchange,,,1.0,
USA,APA CORPORATION,APA,mapped_exact_normalized,APA Corp,current_mapping_row,SEC company_tickers_exchange,,,1.0,
USA,CELANESE CORP,CE,mapped_exact_normalized,Celanese Corp,current_mapping_row,SEC company_tickers_exchange,,,1.0,
USA,CHARLES RIVER LABS INTL,CRL,verified_us_web_high_confidence,"Charles River Laboratories International, Inc.",current_mapping_row,web_verified_round2:https://ir.criver.com/shareholder-services/investor-faqs,,,0.99,
USA,ENPHASE ENERGY,ENPH,mapped_exact_normalized,"Enphase Energy, Inc.",current_mapping_row,SEC company_tickers_exchange,,,1.0,
USA,HF SINCLAIR,DINO,mapped_exact_normalized,HF Sinclair Corp,current_mapping_row,SEC company_tickers_exchange,,,1.0,
USA,HUNTINGTON INGALLS IND,,needs_review,,current_mapping_row,,,,0.0,
USA,KNIGHT-SWIFT TRANSPORT,,needs_review,,current_mapping_row,,,,0.0,
USA,LAMB WESTON HOLDINGS,LW,mapped_exact_normalized,"Lamb Weston Holdings, Inc.",current_mapping_row,SEC company_tickers_exchange,,,1.0,
USA,MARKETAXESS HLDGS,,needs_review,,current_mapping_row,,,,0.0,
USA,MATCH GROUP(NEW),MTCH,mapped_exact_normalized,"Match Group, Inc.",current_mapping_row,SEC company_tickers_exchange,,,1.0,
USA,MOSAIC CO (THE),MOS,mapped_exact_normalized,MOSAIC CO,current_mapping_row,SEC company_tickers_exchange,,,1.0,
USA,QORVO,QRVO,mapped_exact_normalized,"Qorvo, Inc.",current_mapping_row,SEC company_tickers_exchange,,,1.0,
USA,TELEFLEX,TFX,mapped_exact_normalized,TELEFLEX INC,current_mapping_row,SEC company_tickers_exchange,,,1.0,
TAIWAN,ELITE MATERIAL CO,2383,verified_tw_official_round3,台光電子材料股份有限公司 / EMC,current_mapping_row,Round3 official audit: FinLab company_basic_info + TWSE official reference,,,0.99,
TAIWAN,LOTES CO,3533,mapped_exact_normalized,LOTES,current_mapping_row,FinLab company_basic_info:英文簡稱,,,1.0,
