product,review,issue_date,announcement_date,effective_close_date,country,action,company_name,stock_code,mapping_status,mapping_score,matched_name,mapping_source,source_pdf,row_order,verified_mapping,mapping_backtest_ready,universe_checked,ticker_in_required_universe,issue_date_weekday,announcement_date_weekday,effective_close_date_weekday,effective_close_date_price_window_ok,event_date_tradable_gate,backtest_ready,not_backtest_ready_reason
standard,2007-08,2007-08-16,2007-08-16,2007-08-31,USA,addition,DYNEGY A,,needs_review,0.0,,,/Users/johan/Documents/invest/msci_index_reviews/pdf/stdindex/MSCI_Aug07_STPublicList.pdf,1,false,false,us_dayTradePortfolio Close union,false,true,true,true,true,true,false,mapping_status=needs_review;missing_stock_code
standard,2007-08,2007-08-16,2007-08-16,2007-08-31,USA,addition,FOSTER WHEELER CORP,,needs_review,0.0,,,/Users/johan/Documents/invest/msci_index_reviews/pdf/stdindex/MSCI_Aug07_STPublicList.pdf,3,false,false,us_dayTradePortfolio Close union,false,true,true,true,true,true,false,mapping_status=needs_review;missing_stock_code
standard,2007-08,2007-08-16,2007-08-16,2007-08-31,USA,addition,MCDERMOTT INTERNATIONAL,,needs_review,0.0,,,/Users/johan/Documents/invest/msci_index_reviews/pdf/stdindex/MSCI_Aug07_STPublicList.pdf,4,false,false,us_dayTradePortfolio Close union,false,true,true,true,true,true,false,mapping_status=needs_review;missing_stock_code
standard,2007-08,2007-08-16,2007-08-16,2007-08-31,USA,deletion,CIRCUIT CITY,,needs_review,0.0,,,/Users/johan/Documents/invest/msci_index_reviews/pdf/stdindex/MSCI_Aug07_STPublicList.pdf,1,false,false,us_dayTradePortfolio Close union,false,true,true,true,true,true,false,mapping_status=needs_review;missing_stock_code
standard,2007-08,2007-08-16,2007-08-16,2007-08-31,USA,deletion,CONVERGYS CORP,,needs_review,0.0,,,/Users/johan/Documents/invest/msci_index_reviews/pdf/stdindex/MSCI_Aug07_STPublicList.pdf,2,false,false,us_dayTradePortfolio Close union,false,true,true,true,true,true,false,mapping_status=needs_review;missing_stock_code
standard,2007-08,2007-08-16,2007-08-16,2007-08-31,USA,deletion,CORP EXECUTIVE BOARD CO,,needs_review,0.0,,,/Users/johan/Documents/invest/msci_index_reviews/pdf/stdindex/MSCI_Aug07_STPublicList.pdf,3,false,false,us_dayTradePortfolio Close union,false,true,true,true,true,true,false,mapping_status=needs_review;missing_stock_code
standard,2007-08,2007-08-16,2007-08-16,2007-08-31,USA,deletion,TIME WARNER CABLE-A,,needs_review,0.0,,,/Users/johan/Documents/invest/msci_index_reviews/pdf/stdindex/MSCI_Aug07_STPublicList.pdf,5,false,false,us_dayTradePortfolio Close union,false,true,true,true,true,true,false,mapping_status=needs_review;missing_stock_code
standard,2008-08,2008-08-13,2008-08-13,2008-08-29,USA,addition,PETROHAWK ENERGY CORP,,needs_review,0.0,,,/Users/johan/Documents/invest/msci_index_reviews/pdf/stdindex/MSCI_Aug08_STPublicList.pdf,2,false,false,us_dayTradePortfolio Close union,false,true,true,true,true,true,false,mapping_status=needs_review;missing_stock_code
standard,2009-08,2009-08-12,2009-08-12,2009-08-31,USA,addition,LUBRIZOL CORP,,needs_review,0.0,,,/Users/johan/Documents/invest/msci_index_reviews/pdf/stdindex/MSCI_Aug09_STPublicList.pdf,1,false,false,us_dayTradePortfolio Close union,false,true,true,true,true,true,false,mapping_status=needs_review;missing_stock_code
standard,2009-08,2009-08-12,2009-08-12,2009-08-31,USA,addition,XL CAPITAL,,needs_review,0.0,,,/Users/johan/Documents/invest/msci_index_reviews/pdf/stdindex/MSCI_Aug09_STPublicList.pdf,2,false,false,us_dayTradePortfolio Close union,false,true,true,true,true,true,false,mapping_status=needs_review;missing_stock_code
